Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 6 for unit bufferFlightPlansOnLayer.ts.bufferFlightPlansOnLayer(BufferFlightPlansOnLayerInput),LOW,RAW,2026-07-17,0,bufferFlightPlansOnLayer.ts.bufferFlightPlansOnLayer(BufferFlightPlansOnLayerInput),src/helpers/ArcGISHelpers/bufferFlightPlansOnLayer.ts#L20:51,TypeScript,26,6,1
McCabe complexity of 9 for unit importPointRowNormalization.ts.normalizeImportRow(unknown),LOW,RAW,2026-07-01,16,importPointRowNormalization.ts.normalizeImportRow(unknown),backend/src/helpers/points/importPointRowNormalization.ts#L64:91,TypeScript,25,9,1
McCabe complexity of 6 for unit submitStep2(),LOW,RAW,2026-07-14,3,submitStep2(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx#L45:70,TypeScript,25,6,0
McCabe complexity of 7 for unit handleNext(),LOW,RAW,2026-06-04,43,handleNext(),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/Buttons.tsx#L27:53,TypeScript,25,7,0
"McCabe complexity of 6 for unit middleware.ts.RequestHandler(any,any,any)",LOW,RAW,2026-06-04,43,"middleware.ts.RequestHandler(any,any,any)",backend/src/routes/devices-updates/middleware.ts#L7:34,TypeScript,25,6,3
McCabe complexity of 6 for unit handleConfirmDelete(),LOW,RAW,2026-06-04,43,handleConfirmDelete(),src/Components/DashboardPage/AllUsersTable/index.tsx#L82:113,TypeScript,25,6,0
McCabe complexity of 6 for unit useSelectFromSourceGraphicsEffects.ts.useSourcePointHover(any),LOW,RAW,2026-07-14,3,useSelectFromSourceGraphicsEffects.ts.useSourcePointHover(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/useSelectFromSourceGraphicsEffects.ts#L101:130,TypeScript,25,6,1
"McCabe complexity of 6 for unit computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",LOW,RAW,2026-06-06,41,"computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",src/helpers/ArcGISHelpers/computeFlightPlanCentroid.ts#L12:41,TypeScript,24,6,3
McCabe complexity of 7 for unit patchCoords(any),LOW,RAW,2026-06-10,37,patchCoords(any),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub2.tsx#L38:62,TypeScript,24,7,1
McCabe complexity of 6 for unit pdfReportTables.ts.addGeneralInfoTable(any),LOW,RAW,2026-07-13,4,pdfReportTables.ts.addGeneralInfoTable(any),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportTables.ts#L32:59,TypeScript,24,6,1
"McCabe complexity of 9 for unit GrantFailureKind.classifyGrantFailure(unknown,any)",LOW,RAW,2026-07-13,4,"GrantFailureKind.classifyGrantFailure(unknown,any)",backend/src/routes/auth2/grantHelpers.ts#L91:122,TypeScript,24,9,2
"McCabe complexity of 6 for unit createUser.ts.createUser(Request,Response)",LOW,RAW,2026-06-04,43,"createUser.ts.createUser(Request,Response)",backend/src/routes/users/createUser.ts#L4:30,TypeScript,24,6,2
McCabe complexity of 6 for unit processImportedRows(string[]),LOW,RAW,2026-07-04,13,processImportedRows(string[]),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/ImportVluchtPlan.tsx#L53:67,TypeScript,24,6,1
"McCabe complexity of 7 for unit editGeometryHelpers.ts.zoomMapToGeometryPoints(__esri.MapView|null|undefined,Geometry)",LOW,RAW,2026-07-04,13,"editGeometryHelpers.ts.zoomMapToGeometryPoints(__esri.MapView|null|undefined,Geometry)",src/Components/HomePage/Body/Left/Tools/EditGeometry/editGeometryHelpers.ts#L32:61,TypeScript,24,7,2
McCabe complexity of 6 for unit flightPathMetrics.ts.calculateFlightPathMetrics(PlanPathRow),LOW,RAW,2026-07-14,3,flightPathMetrics.ts.calculateFlightPathMetrics(PlanPathRow),src/hooks/flightPathMetrics.ts#L18:41,TypeScript,24,6,1
McCabe complexity of 7 for unit index.tsx.Form(any),LOW,RAW,2026-06-04,43,index.tsx.Form(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Form/index.tsx#L14:42,TypeScript,24,7,1
"McCabe complexity of 9 for unit invalidateRelatedQueries.ts.invalidateRelatedQueries(QueryClient,string)",LOW,RAW,2026-07-17,0,"invalidateRelatedQueries.ts.invalidateRelatedQueries(QueryClient,string)",src/lib/invalidateRelatedQueries.ts#L12:43,TypeScript,23,9,2
McCabe complexity of 7 for unit utils.ts.fetchWithRetry(any),LOW,RAW,2026-07-13,4,utils.ts.fetchWithRetry(any),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/utils.ts#L3:29,TypeScript,23,7,1
"McCabe complexity of 7 for unit logoutHandler.ts.RequestHandler(any,any)",LOW,RAW,2026-06-04,43,"logoutHandler.ts.RequestHandler(any,any)",backend/src/routes/auth/authKeycloak/logoutHandler.ts#L4:30,TypeScript,23,7,2
McCabe complexity of 8 for unit fetchTimeRange(),LOW,RAW,2026-06-04,43,fetchTimeRange(),src/hooks/useTimeRange.ts#L15:37,TypeScript,23,8,0
McCabe complexity of 6 for unit useNearestPointClick.ts.useNearestPointClick(UseNearestPointClickOptions),LOW,RAW,2026-06-04,43,useNearestPointClick.ts.useNearestPointClick(UseNearestPointClickOptions),src/hooks/hover-click-handlers/useNearestPointClick.ts#L17:50,TypeScript,23,6,1
McCabe complexity of 6 for unit updateGeometryPoints.ts.updateGeometryOwnedPoints(any),LOW,RAW,2026-07-04,13,updateGeometryPoints.ts.updateGeometryOwnedPoints(any),backend/src/helpers/queries/geometries/updateGeometryPoints.ts#L10:42,TypeScript,23,6,1
McCabe complexity of 6 for unit useWizardPointsFilterHeader.tsx.useWizardPointsFilterHeader(any),LOW,RAW,2026-07-13,4,useWizardPointsFilterHeader.tsx.useWizardPointsFilterHeader(any),src/hooks/points/useWizardPointsFilterHeader.tsx#L3:44,TypeScript,22,6,1
McCabe complexity of 6 for unit useTimesliderSelection.ts.useTimesliderSelectedPlan(any),LOW,RAW,2026-07-04,13,useTimesliderSelection.ts.useTimesliderSelectedPlan(any),src/Components/TimesliderItemDetailPage/useTimesliderSelection.ts#L4:32,TypeScript,22,6,1
"McCabe complexity of 8 for unit pointGraphicCoordinates.ts.getPointCoordinates(PointData,any)",LOW,RAW,2026-07-17,0,"pointGraphicCoordinates.ts.getPointCoordinates(PointData,any)",src/helpers/ArcGISHelpers/pointGraphicCoordinates.ts#L4:30,TypeScript,22,8,2
McCabe complexity of 9 for unit InputComp.tsx,LOW,RAW,2026-07-14,3,InputComp.tsx,src/Components/HomePage/Body/Left/Common/FormComponents/InputComp.tsx#L1:18,TypeScript,21,9,0
McCabe complexity of 6 for unit usePointGraphicsEffects.ts.usePointGraphicsClick(any),LOW,RAW,2026-07-14,3,usePointGraphicsEffects.ts.usePointGraphicsClick(any),src/hooks/features/usePointGraphicsEffects.ts#L38:62,TypeScript,21,6,1
"McCabe complexity of 8 for unit buildPlanBoundingBoxGraphic.ts.buildPlanBoundingBoxGraphic(PlanBoundingBoxPoint[],any,any,CreatePlanBoundingBoxGraphicOptions)",LOW,RAW,2026-07-17,0,"buildPlanBoundingBoxGraphic.ts.buildPlanBoundingBoxGraphic(PlanBoundingBoxPoint[],any,any,CreatePlanBoundingBoxGraphicOptions)",src/helpers/ArcGISHelpers/buildPlanBoundingBoxGraphic.ts#L11:37,TypeScript,21,8,4
McCabe complexity of 8 for unit useTimesliderQueryContext.ts.useTimesliderQueryContext(),LOW,RAW,2026-07-13,4,useTimesliderQueryContext.ts.useTimesliderQueryContext(),src/Components/TimesliderItemDetailPage/useTimesliderQueryContext.ts#L6:27,TypeScript,21,8,0
McCabe complexity of 6 for unit useTableLayout.ts.useTableLayout(UseTableLayoutInput),LOW,RAW,2026-07-04,13,useTableLayout.ts.useTableLayout(UseTableLayoutInput),src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useTableLayout.ts#L8:29,TypeScript,21,6,1
McCabe complexity of 10 for unit finishedPlan.ts.validateFinishedPlan(unknown),LOW,RAW,2026-06-10,37,finishedPlan.ts.validateFinishedPlan(unknown),backend/src/helpers/validators/finishedPlan.ts#L65:93,TypeScript,21,10,1
McCabe complexity of 10 for unit FeatureDeleteAttachmentsResponse.assertDeleteAttachmentsSuccess(FeatureDeleteAttachmentsResponse),LOW,RAW,2026-07-04,13,FeatureDeleteAttachmentsResponse.assertDeleteAttachmentsSuccess(FeatureDeleteAttachmentsResponse),src/helpers/arcgis/deleteAttachmentsResponse.ts#L27:52,TypeScript,20,10,1
McCabe complexity of 7 for unit PointItemCheckBox.tsx.PointItemCheckBox(PointItemCheckBoxProps),LOW,RAW,2026-07-15,2,PointItemCheckBox.tsx.PointItemCheckBox(PointItemCheckBoxProps),src/Components/HomePage/Body/Left/Common/PointItemCheckBox.tsx#L18:46,TypeScript,20,7,1
