Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
23 lines of code for unit useViewPlanFilteredPlans.ts.useViewPlanFilteredPlans(any),LOW,RAW,2026-07-13,5,useViewPlanFilteredPlans.ts.useViewPlanFilteredPlans(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/useViewPlanFilteredPlans.ts#L5:36,TypeScript,23,3,1
23 lines of code for unit handleToggle(React.ChangeEvent<HTMLInputElement>),LOW,RAW,2026-06-04,44,handleToggle(React.ChangeEvent<HTMLInputElement>),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LayerItem.tsx#L41:70,TypeScript,23,5,1
23 lines of code for unit nnederlandLayerSpecsPart2b.ts,LOW,RAW,2026-07-18,0,nnederlandLayerSpecsPart2b.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart2b.ts#L1:28,TypeScript,23,1,0
23 lines of code for unit index.tsx.Step3(),LOW,RAW,2026-06-04,44,index.tsx.Step3(),src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step3/index.tsx#L5:29,TypeScript,23,1,0
23 lines of code for unit useNearestPointClick.ts.useNearestPointClick(UseNearestPointClickOptions),LOW,RAW,2026-06-04,44,useNearestPointClick.ts.useNearestPointClick(UseNearestPointClickOptions),src/hooks/hover-click-handlers/useNearestPointClick.ts#L17:50,TypeScript,23,6,1
23 lines of code for unit handleDirectDownload(),LOW,RAW,2026-06-04,44,handleDirectDownload(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/hooks/useDirectDownload.ts#L21:43,TypeScript,23,7,0
23 lines of code for unit nnederlandLayerSpecsPart3b.ts,LOW,RAW,2026-07-18,0,nnederlandLayerSpecsPart3b.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart3b.ts#L1:28,TypeScript,23,1,0
23 lines of code for unit featureLayerLabelsSync.ts.attachFeatureLayerLabelSync(any),LOW,RAW,2026-07-04,14,featureLayerLabelsSync.ts.attachFeatureLayerLabelSync(any),src/hooks/hover-click-handlers/featureLayerLabelsSync.ts#L28:32,TypeScript,23,3,1
"23 lines of code for unit logoutHandler.ts.RequestHandler(any,any)",LOW,RAW,2026-06-04,44,"logoutHandler.ts.RequestHandler(any,any)",backend/src/routes/auth/authKeycloak/logoutHandler.ts#L4:30,TypeScript,23,7,2
23 lines of code for unit timesliderPlanImagesParse.ts.parseTimesliderPlanImagesRequest(any),LOW,RAW,2026-07-18,0,timesliderPlanImagesParse.ts.parseTimesliderPlanImagesRequest(any),backend/src/helpers/queries/timeslider/timesliderPlanImagesParse.ts#L15:41,TypeScript,23,3,1
23 lines of code for unit exportFlightPathZip.ts.buildFlightPathGeoJson(FinishedFlightPlanType),LOW,RAW,2026-07-17,1,exportFlightPathZip.ts.buildFlightPathGeoJson(FinishedFlightPlanType),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/VliegrouteExporteren/exportFlightPathZip.ts#L7:32,TypeScript,23,1,1
23 lines of code for unit fetchTimeRange(),LOW,RAW,2026-06-04,44,fetchTimeRange(),src/hooks/useTimeRange.ts#L15:37,TypeScript,23,8,0
23 lines of code for unit verifyRegioPointsGeometries.ts.runGeometriesQuery(string|undefined),LOW,RAW,2026-07-04,14,verifyRegioPointsGeometries.ts.runGeometriesQuery(string|undefined),backend/scripts/verifyRegioPointsGeometries.ts#L23:45,TypeScript,23,4,1
23 lines of code for unit flightPlanFormFields.ts,LOW,RAW,2026-07-17,1,flightPlanFormFields.ts,src/hooks/zustand/shared/flightPlanFormFields.ts#L1:23,TypeScript,23,1,0
23 lines of code for unit handleSubmit(),LOW,RAW,2026-06-04,44,handleSubmit(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/Submit.tsx#L24:46,TypeScript,23,2,0
23 lines of code for unit buildFlightPlanQuery.ts.buildFlightPlanQuery(BuildFlightPlanQueryOptions),LOW,RAW,2026-06-30,18,buildFlightPlanQuery.ts.buildFlightPlanQuery(BuildFlightPlanQueryOptions),backend/src/helpers/queries/flight-plans/buildFlightPlanQuery.ts#L10:38,TypeScript,23,1,1
23 lines of code for unit FetchFlightPlanListInput.fetchFlightPlanList(FetchFlightPlanListInput),LOW,RAW,2026-07-14,4,FetchFlightPlanListInput.fetchFlightPlanList(FetchFlightPlanListInput),backend/src/helpers/queries/flight-plans/fetchFlightPlanList.ts#L32:56,TypeScript,23,3,1
"23 lines of code for unit useLegendLayerSyncEffects.ts.useLegendLayerSyncEffects(Dispatch<SetStateAction<LegendLayerDefinition[]>>,string[],SyncOptions)",LOW,RAW,2026-07-18,0,"useLegendLayerSyncEffects.ts.useLegendLayerSyncEffects(Dispatch<SetStateAction<LegendLayerDefinition[]>>,string[],SyncOptions)",src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/helpers/useLegendLayerSyncEffects.ts#L13:41,TypeScript,23,5,3
"23 lines of code for unit updateGeometry.ts.updateGeometry(Request,Response)",LOW,RAW,2026-06-04,44,"updateGeometry.ts.updateGeometry(Request,Response)",backend/src/routes/geometries/updateGeometry.ts#L8:33,TypeScript,23,4,2
23 lines of code for unit pages.ts,LOW,RAW,2026-07-04,14,pages.ts,src/Components/HomePage/Head/headTabDefinitions/pages.ts#L1:26,TypeScript,23,1,0
23 lines of code for unit nnederlandLayerSpecsPart1b.ts,LOW,RAW,2026-07-18,0,nnederlandLayerSpecsPart1b.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart1b.ts#L1:28,TypeScript,23,1,0
"23 lines of code for unit drawYellowPlanGraphics.ts.drawYellowGeometries(Geometry[],__esri.GraphicsLayer|null)",LOW,RAW,2026-06-04,44,"drawYellowPlanGraphics.ts.drawYellowGeometries(Geometry[],__esri.GraphicsLayer|null)",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/drawYellowPlanGraphics.ts#L44:73,TypeScript,23,5,2
23 lines of code for unit index.tsx.ListPointFunctions(any),LOW,RAW,2026-07-15,3,index.tsx.ListPointFunctions(any),src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L24:40,TypeScript,23,1,1
23 lines of code for unit SinglePlan.tsx.SinglePlan(any),LOW,RAW,2026-06-04,44,SinglePlan.tsx.SinglePlan(any),src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step1/SinglePlan.tsx#L9:45,TypeScript,23,1,1
23 lines of code for unit useEntityPlanImages.ts.useEntityPlanImages(EntityPlanImagesInput),LOW,RAW,2026-07-17,1,useEntityPlanImages.ts.useEntityPlanImages(EntityPlanImagesInput),src/api-hooks/planImages/useEntityPlanImages.ts#L15:28,TypeScript,23,5,1
"23 lines of code for unit invalidateRelatedQueries.ts.invalidateRelatedQueries(QueryClient,string)",LOW,RAW,2026-07-17,1,"invalidateRelatedQueries.ts.invalidateRelatedQueries(QueryClient,string)",src/lib/invalidateRelatedQueries.ts#L12:43,TypeScript,23,9,2
23 lines of code for unit promptPasswordAndCopyDownloadLink.ts.promptPasswordAndCopyDownloadLink(any),LOW,RAW,2026-07-17,1,promptPasswordAndCopyDownloadLink.ts.promptPasswordAndCopyDownloadLink(any),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/hooks/promptPasswordAndCopyDownloadLink.ts#L4:41,TypeScript,23,5,1
23 lines of code for unit nnederlandLayerSpecsPart3d.ts,LOW,RAW,2026-07-18,0,nnederlandLayerSpecsPart3d.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart3d.ts#L1:28,TypeScript,23,1,0
22 lines of code for unit usePointsViewLayoutController.ts.usePointsViewLayoutController(any),LOW,RAW,2026-07-14,4,usePointsViewLayoutController.ts.usePointsViewLayoutController(any),src/Components/HomePage/Body/Bottom/PointsView/common/hooks/usePointsViewLayoutController.ts#L5:39,TypeScript,22,1,1
22 lines of code for unit applyGeometrySaveSuccess.ts.applyGeometrySaveSuccess(any),LOW,RAW,2026-07-18,0,applyGeometrySaveSuccess.ts.applyGeometrySaveSuccess(any),src/Components/HomePage/Body/Left/Tools/EditGeometry/applyGeometrySaveSuccess.ts#L7:42,TypeScript,22,1,1
22 lines of code for unit SinglePoints.tsx.SinglePoint(any),LOW,RAW,2026-06-04,44,SinglePoints.tsx.SinglePoint(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/ChangePoint/SinglePoints.tsx#L7:39,TypeScript,22,1,1
22 lines of code for unit syncBluePointGraphics.ts,LOW,RAW,2026-07-17,1,syncBluePointGraphics.ts,src/helpers/ArcGISHelpers/syncBluePointGraphics.ts#L1:3,TypeScript,22,5,0
