Name,Status,Lines of code,Lines of code (Before),Duplication,Duplication (Before)
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/buildDeletePointStep2Sub1Handlers.ts,new,31,-,0,-
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/handleDeletePointEmptyMapClick.ts,new,65,-,0,-
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx,recurring,43,71,0,47.06
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/useDeletePointMapClick.ts,new,28,-,0,-
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/useDeletePointStep2Sub1.ts,new,15,-,0,-
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/useDeletePointStep2Sub1Wire.ts,new,24,-,0,-
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/Filter/index.tsx,recurring,12,12,0,0
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/ViewPlans/PlanInformation.tsx,recurring,5,54,0,100
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/ViewPlans/PlansList.tsx,recurring,56,56,0,0
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/ViewPlans/index.tsx,recurring,33,33,0,0
src/Components/HomePage/Body/Left/Tools/Bevragen/index.tsx,recurring,3,3,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/ActionButtons.tsx,recurring,31,35,0,75
src/Components/HomePage/Body/Left/Tools/EditGeometry/Buttons.tsx,recurring,15,15,0,0
src/Components/HomePage/Body/Left/Tools/EditGeometry/ConfirmationModal.tsx,recurring,78,78,0,0
