Source,Target,Type,Description,Status,Count,Count (Before),Undesirable
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/AddToPlan/StepNo/index.tsx,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/DeletePoint/index.tsx,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/useDeletePointDetailsSubmit.ts,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/Main/Buttons.tsx,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/ViewPlans/index.tsx,src/api-hooks/flightPlans/useFlightPlanLookupQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/useEditFormController.ts,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/EditGeometry/useEditGeometryMutations.ts,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/EditGeometry/useEditGeometryMutations.ts,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/Emailijst/AddEmail/index.tsx,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/Emailijst/DeleteEmail/index.tsx,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/Emailijst/EditEmail/index.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Tools/Emailijst/index.tsx,src/api-hooks/emails/useEmailsList.ts,Code call,typescript.call,recurring,1,1,
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step1/index.tsx,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step3/Buttons.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Buttons.tsx,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Buttons.tsx,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Omschrijving.tsx,src/api-hooks/points/usePointLookupQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/ImportVluchtPlan.tsx,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx,src/api-hooks/templateFlights/useTemplateFlights.ts,Code call,typescript.call,recurring,1,1,
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/Vluchtnummer.tsx,src/api-hooks/flightPlans/useFlightPlanLookupQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/PrepareFlightPlan/Steps/Step1.tsx,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/PrepareFlightPlan/index.tsx,src/api-hooks/mutations/useUpdateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/RemoveFlightPlan/CongfirmationModal.tsx,src/api-hooks/mutations/useDeleteDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/RemoveFlightPlan/useRemoveFlightPlanQuery.ts,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step1/index.tsx,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx,src/api-hooks/mutations/useCreateDataCore.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Vluchtnummer.tsx,src/api-hooks/flightPlans/useFlightPlanLookupQueries.ts,Code call,typescript.call,new,1,,
src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepMultiplePoints/index.tsx,src/api-hooks/flightPlans/useRegionalFlightPlanQueries.ts,Code call,typescript.call,new,1,,
