Entity,Data store,Connected components
attachments,SQL database,1
emails,SQL database,1
finished_plans,SQL database,2
finished_plans_path,SQL database,1
flightplans,SQL database,4
geometries,SQL database,3
getac_devices,SQL database,1
points,SQL database,3
template_plans,SQL database,2
users,SQL database,2
logging,SQL database,
