Name,Status,Rating,Rating (Before),Lines Of Code,Lines Of Code (Before),Adjacent components,Adjacent components (Before)
Otg-lis,recurring,2.9,3.04,65594,49378,-,-
Remainder,recurring,5.5,5.5,345,275,0,0
Root files,recurring,5.5,5.5,36,36,0,0
backend,recurring,3.92,3.94,13695,8126,4,5
scripts,new,5.5,-,-,-,0,-
src/Components/Common,recurring,5.5,5.5,49,49,0,0
src/Components/DashboardPage,recurring,5.49,5.5,1320,1005,0,0
src/Components/DevicesUpdatesPage,recurring,5.5,5.5,265,234,1,1
src/Components/HomePage,recurring,2.66,2.87,36697,31245,33,28
src/Components/InstallationsPage,recurring,5.5,5.5,192,176,0,0
src/Components/TimesliderItemDetailPage,recurring,4.08,4.22,1467,783,4,3
src/Types,recurring,5.5,5.5,250,273,0,0
src/api-hooks,recurring,1.93,2.39,857,420,61,28
src/api,recurring,3.79,3.79,8,8,6,6
src/constants,recurring,5.5,5.5,21,45,0,0
src/helpers,recurring,1.91,2.09,4107,2518,68,54
src/hooks,recurring,1.48,1.51,6050,3756,126,119
src/lib,recurring,4.22,5.5,228,172,3,1
src/utils,recurring,5.5,2.11,7,236,0,47
public,removed,-,5.5,-,21,-,0
