Name,Status,Rating,Rating (Before),Lines Of Code,Lines Of Code (Before),External dependencies,External dependencies (Before),Incoming dependencies,Incoming dependencies (Before),Outgoing dependencies,Outgoing dependencies (Before)
Otg-lis,recurring,3.39,3.37,65594,49879,-,-,0,0,0,0
Remainder,recurring,5.5,5.5,345,275,0,0,0,0,0,0
Root files,recurring,5.5,5.5,36,36,0,0,0,0,0,0
backend,recurring,4.32,4.38,13695,8627,5,5,5,5,0,0
scripts,new,5.5,-,-,-,0,-,0,0,0,0
src/Components/Common,recurring,5.5,5.5,49,49,0,0,0,0,0,0
src/Components/DashboardPage,recurring,5.49,5.5,1320,1005,0,0,0,0,0,0
src/Components/DevicesUpdatesPage,recurring,5.5,5.5,265,234,1,1,0,0,1,1
src/Components/HomePage,recurring,2.92,3.02,43989,31245,396,648,0,5,396,643
src/Components/InstallationsPage,recurring,5.5,5.5,192,176,0,0,0,0,0,0
src/Components/TimesliderItemDetailPage,recurring,4.48,4.48,1467,783,7,7,0,0,7,7
src/Types,recurring,5.5,5.5,250,273,0,0,0,0,0,0
src/api-hooks,recurring,3.48,3.78,865,420,86,59,81,34,5,25
src/constants,recurring,5.5,5.5,21,45,0,0,0,0,0,0
src/helpers/ArcGISHelpers,recurring,4.03,3.22,412,1293,40,137,40,137,0,0
src/helpers/arcgis,recurring,4.36,5.25,147,97,15,2,12,1,3,1
src/helpers/auth,new,4.75,-,51,-,4,-,4,0,0,0
src/helpers/geo,new,4.35,-,112,-,16,-,13,0,3,0
src/helpers/geometry,new,5,-,12,-,3,-,3,0,0,0
src/helpers/http,new,4.45,-,33,-,9,-,5,0,4,0
src/helpers/plans,new,5.5,-,22,-,1,-,1,0,0,0
src/helpers/points,recurring,4.5,4.75,56,97,5,4,5,4,0,0
src/helpers/timeslider,recurring,4.47,5,517,370,7,3,0,0,7,3
src/helpers/tokens,recurring,5.25,5.25,92,95,2,2,0,0,2,2
src/hooks,recurring,2.68,2.53,1411,3756,256,501,255,444,1,57
src/lib,recurring,4.5,5,228,172,5,3,5,3,0,0
src/utils,recurring,5.5,3.81,7,236,0,56,0,53,0,3
public,removed,-,5.5,-,21,-,0,0,0,0,0
src/api,removed,-,4.28,-,8,-,21,0,21,0,0
src/helpers,removed,-,3.08,-,2518,-,177,0,36,0,1
