Source,Target,Type,Description,Status,Count,Count (Before),Undesirable
backend/src/routes/users/updateUserHelpers.ts,users,Data access,Embedded SQL query,new,1,,
backend/scripts/verify-regio-apis.ts,flightplans,Data access,Embedded SQL query,removed,0,1,
backend/src/helpers/entityDeleteHelpers.ts,flightplans,Data access,Embedded SQL query,removed,0,2,
backend/src/helpers/queries/buildFinishedPlanQuery.ts,finished_plans,Data access,Embedded SQL query,removed,0,1,
backend/src/helpers/queries/flightPlanFields.ts,flightplans,Data access,Embedded SQL query,removed,0,2,
backend/src/helpers/queries/geometryRouteHelpers.ts,geometries,Data access,Embedded SQL query,removed,0,1,
backend/src/helpers/queries/logFields.ts,logging,Data access,Embedded SQL query,removed,0,1,
backend/src/helpers/queries/pointFields.ts,points,Data access,Embedded SQL query,removed,0,2,
backend/src/helpers/queries/templatePlanHelpers.ts,template_plans,Data access,Embedded SQL query,removed,0,1,
backend/src/helpers/queries/timesliderPlanImages.ts,flightplans,Data access,Embedded SQL query,removed,0,1,
backend/src/helpers/queries/timesliderPlanImages.ts,points,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/auth/loginUser.ts,users,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/finished_plans/createAttachment.ts,attachments,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/finished_plans/createFinishedPlan.ts,attachments,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/finished_plans/createFinishedPlan.ts,finished_plans,Data access,Embedded SQL query,removed,0,2,
backend/src/routes/finished_plans/createFinishedPlan.ts,finished_plans_path,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/finished_plans/createFinishedPlan.ts,flightplans,Data access,Embedded SQL query,removed,0,2,
backend/src/routes/finished_plans/createFinishedPlan.ts,points,Data access,Embedded SQL query,removed,0,2,
backend/src/routes/finished_plans/getAttachmentsPlanSinglePoint.ts,attachments,Data access,Embedded SQL query,removed,0,1,
backend/src/routes/finished_plans/getAttachmentsPlanSinglePoint.ts,finished_plans,Data access,Embedded SQL query,removed,0,1,
