Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 6 for unit planSelection.ts.collectExistingPlanPointIds(FlightPlanType),LOW,RAW,2026-06-04,47,planSelection.ts.collectExistingPlanPointIds(FlightPlanType),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/planSelection.ts#L5:16,TypeScript,10,6,1
McCabe complexity of 7 for unit authSecurityConfig.ts.isGenericAuthErrorsEnabled(),LOW,RAW,2026-07-13,8,authSecurityConfig.ts.isGenericAuthErrorsEnabled(),backend/src/routes/auth2/authSecurityConfig.ts#L7:16,TypeScript,10,7,0
McCabe complexity of 6 for unit FeatureDeleteAttachmentsResponse.assertDeleteAttachmentsSuccess(FeatureDeleteAttachmentsResponse),LOW,RAW,2026-07-04,17,FeatureDeleteAttachmentsResponse.assertDeleteAttachmentsSuccess(FeatureDeleteAttachmentsResponse),src/helpers/arcgis/deleteAttachmentsResponse.ts#L45:59,TypeScript,10,6,1
McCabe complexity of 6 for unit resolveRegioFilter.ts.firstQueryValue(unknown),LOW,RAW,2026-07-01,20,resolveRegioFilter.ts.firstQueryValue(unknown),backend/src/helpers/queries/shared/resolveRegioFilter.ts#L4:15,TypeScript,10,6,1
McCabe complexity of 7 for unit ImageGalleryToolbar.tsx.ImageGalleryToolbar(any),LOW,RAW,2026-07-18,3,ImageGalleryToolbar.tsx.ImageGalleryToolbar(any),src/Components/HomePage/Body/Common/ImageGalleryToolbar.tsx#L8:35,TypeScript,10,7,1
McCabe complexity of 6 for unit pointItemTypes.ts.countPointAttachments(PointItemPoint),LOW,RAW,2026-07-15,6,pointItemTypes.ts.countPointAttachments(PointItemPoint),src/Components/HomePage/Body/Left/Common/pointItemTypes.ts#L18:27,TypeScript,10,6,1
"McCabe complexity of 6 for unit useRegionalFlightPlansCore.ts.useRegionalFlightPlans(FlightPlanRegioKind,FlightPlanRegioQueryInput)",LOW,RAW,2026-07-17,4,"useRegionalFlightPlansCore.ts.useRegionalFlightPlans(FlightPlanRegioKind,FlightPlanRegioQueryInput)",src/api-hooks/flightPlans/useRegionalFlightPlansCore.ts#L13:25,TypeScript,10,6,2
McCabe complexity of 7 for unit proxyShared.ts.extractTargetUrlFromRequest(any),LOW,RAW,2026-06-04,47,proxyShared.ts.extractTargetUrlFromRequest(any),backend/src/routes/arcgis/proxyShared.ts#L48:62,TypeScript,9,7,1
McCabe complexity of 6 for unit safeReturnPath.ts.safeReturnPath(unknown),LOW,RAW,2026-06-04,47,safeReturnPath.ts.safeReturnPath(unknown),backend/src/routes/auth/authKeycloak/safeReturnPath.ts#L23:33,TypeScript,9,6,1
"McCabe complexity of 6 for unit herhalenFilter.ts.matchesHerhalen(HerhalenValue,boolean)",LOW,RAW,2026-07-13,8,"herhalenFilter.ts.matchesHerhalen(HerhalenValue,boolean)",src/helpers/points/herhalenFilter.ts#L3:11,TypeScript,9,6,2
