Description,Severity,Status,First Seen,Issue age,Type,Length,Source component,Target component
Cyclic dependency between src/hooks and src/Components/HomePage,HIGH,RAW,2026-07-18,3,CYCLIC_DEPENDENCY,-,src/hooks,src/Components/HomePage
High communication density on src/api-hooks,MEDIUM,RAW,2026-06-04,47,COMMUNICATION_DENSITY,-,-,-
High communication density on src/hooks,MEDIUM,RAW,2026-06-04,47,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/helpers,LOW,RAW,2026-06-04,47,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/Components/HomePage,LOW,RAW,2026-06-04,47,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/Components/TimesliderItemDetailPage,LOW,RAW,2026-06-04,47,COMMUNICATION_DENSITY,-,-,-
