Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
17 lines occurring 2 times,HIGH,RAW,2026-06-04,30,17,17,2,true,true,TypeScript,"src/hooks/zustand/useEnrichedPointState.ts#L73:95,src/hooks/zustand/useEnrichedPointState.ts#L122:144"
17 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,17,17,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L85:103,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L90:108"
16 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-01,3,16,16,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx#L29:51,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx#L36:58"
16 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,16,16,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L7:24,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L9:26"
15 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,15,15,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L118:135,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx#L150:167"
15 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,15,15,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/index.tsx#L38:52,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step1.tsx#L49:63"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-30,4,14,14,2,false,true,TypeScript,"src/hooks/zustand/nabewerking/useFinishedPlansState.ts#L44:60,src/hooks/zustand/useReuseFlightPlan.ts#L40:56"
14 lines occurring 2 times,HIGH,RAW,2026-06-04,30,14,14,2,true,true,TypeScript,"src/hooks/zustand/useEnrichedPointState.ts#L51:70,src/hooks/zustand/useEnrichedPointState.ts#L99:118"
14 lines occurring 2 times,HIGH,RAW,2026-07-01,3,14,14,2,true,true,TypeScript,"backend/src/helpers/http/runReturningUpdate.ts#L41:57,backend/src/helpers/http/runReturningUpdate.ts#L87:103"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L109:128,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx#L182:201"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/helpers/getDistanceInMeters.ts#L2:17,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/index.tsx#L40:55"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,24,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx#L5:18,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx#L5:18"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx#L184:204,src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L135:155"
14 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,30,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Buttons.tsx#L39:52,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Buttons.tsx#L48:62"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L111:128,src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L135:152"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L17:29,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointCoordinates.ts#L242:254"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,28,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlanDetails/DropDown.tsx#L39:60,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PlansList.tsx#L38:59"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,24,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx#L21:33,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx#L21:33"
13 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/index.tsx#L72:87,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/StepContent.tsx#L120:135"
