Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 36 lines of code,HIGH,RAW,2026-07-14,13,src/api-hooks/templateFlights/useTemplateFlights.ts,TypeScript,36
Interface module with 22 lines of code,HIGH,RAW,2026-07-14,13,src/api-hooks/finishedPlans/usePlanPointAttachments.ts,TypeScript,22
Interface module with 22 lines of code,HIGH,RAW,2026-07-14,13,src/api-hooks/points/usePointLookupQueries.ts,TypeScript,22
Interface module with 21 lines of code,HIGH,RAW,2026-06-04,53,src/hooks/useLogAction.ts,TypeScript,21
Interface module with 19 lines of code,HIGH,RAW,2026-07-14,13,src/api-hooks/flightPlans/useFlightPlanLookupQueries.ts,TypeScript,19
Interface module with 17 lines of code,HIGH,RAW,2026-07-04,23,src/hooks/consts/useConstSelectOptions.ts,TypeScript,17
Interface module with 14 lines of code,HIGH,RAW,2026-06-04,53,src/hooks/useGetFlightTimesDistance.ts,TypeScript,14
Interface module with 13 lines of code,HIGH,RAW,2026-07-04,23,src/api-hooks/consts/useLookupQuery.ts,TypeScript,13
Interface module with 11 lines of code,HIGH,RAW,2026-06-04,53,src/helpers/refreshToken.ts,TypeScript,11
Interface module with 10 lines of code,HIGH,RAW,2026-07-14,13,src/api-hooks/emails/useEmailsList.ts,TypeScript,10
Interface module with 116 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/centerAndZoomMathCore.ts,TypeScript,116
Interface module with 82 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/points/flightPlanPointExcelCore.ts,TypeScript,82
Interface module with 78 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/geometryMapGraphicFactoriesCore.ts,TypeScript,78
Interface module with 74 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/pointMapGraphicActionsCore.ts,TypeScript,74
Interface module with 70 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/points/sortPointsWithSelectionOrderCore.ts,TypeScript,70
Interface module with 67 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/geometryMapGraphicActionsCore.ts,TypeScript,67
Interface module with 66 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/createGeometryGraphicInternal.ts,TypeScript,66
Interface module with 61 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/bufferPointsOnLayerCore.ts,TypeScript,61
Interface module with 60 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/tableExports/shapefileExportCore.ts,TypeScript,60
Interface module with 59 lines of code,MEDIUM,RAW,2026-07-22,5,src/hooks/zustand/tools/deletePointFormFields.ts,TypeScript,59
Interface module with 59 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/tableExports/csvExportCore.ts,TypeScript,59
Interface module with 55 lines of code,MEDIUM,RAW,2026-07-18,9,src/api-hooks/mutations/useCreateDataCore.ts,TypeScript,55
Interface module with 54 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/planBoundingBoxGeometryCore.ts,TypeScript,54
Interface module with 52 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/flightPlan/submitCollectedFlightPlanCreate.ts,TypeScript,52
Interface module with 51 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/filters/useFilteredSortedPlansCore.ts,TypeScript,51
Interface module with 50 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/zustand/shared/flightPlanFormSettersCore.ts,TypeScript,50
Interface module with 50 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/tableExports/xlsxExportCore.ts,TypeScript,50
Interface module with 49 lines of code,MEDIUM,RAW,2026-07-18,9,src/api-hooks/mutations/useUpdateDataCore.ts,TypeScript,49
Interface module with 47 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/planStarGraphicsCore.ts,TypeScript,47
Interface module with 45 lines of code,MEDIUM,RAW,2026-07-18,9,src/api-hooks/mutations/useDeleteDataCore.ts,TypeScript,45
Interface module with 45 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/bufferFlightPlansOnLayerCore.ts,TypeScript,45
Interface module with 44 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/useTimeRangeCore.ts,TypeScript,44
Interface module with 44 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/buildPlanBoundingBoxGraphicCore.ts,TypeScript,44
Interface module with 43 lines of code,MEDIUM,RAW,2026-07-17,10,src/helpers/ArcGISHelpers/pointGraphicCoordinates.ts,TypeScript,43
Interface module with 43 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/pointMapGraphicFactoriesCore.ts,TypeScript,43
Interface module with 41 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/layout/useResizableSidebarCore.ts,TypeScript,41
Interface module with 41 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/pointGraphicFactoryCore.ts,TypeScript,41
Interface module with 40 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/points/useWizardPointsFilterHeaderCore.tsx,TypeScript,40
Interface module with 40 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/hover-click-handlers/useDrawPathCore.ts,TypeScript,40
Interface module with 39 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/resultTab/useResultTabStarredPointActionsCore.ts,TypeScript,39
Interface module with 38 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/hover-click-handlers/useNearestPointClickCore.ts,TypeScript,38
Interface module with 38 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/finishedPlanCentroidMarkersCore.ts,TypeScript,38
Interface module with 38 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/hover-click-handlers/useFeatureLayerPopupCore.ts,TypeScript,38
Interface module with 37 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/tableExports/geoJsonExportCore.ts,TypeScript,37
Interface module with 37 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/viewPlan/useMapPointSelectionClickCore.ts,TypeScript,37
Interface module with 35 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/geo/buildCoordinateSyncPatchCore.ts,TypeScript,35
Interface module with 34 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/flightPlan/flightPlanFormLabelsCore.ts,TypeScript,34
Interface module with 34 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/resultTab/useResultTabMoreMenuCore.ts,TypeScript,34
Interface module with 32 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/centerAndZoomFromPlanCore.ts,TypeScript,32
Interface module with 32 lines of code,MEDIUM,RAW,2026-07-18,9,src/helpers/ArcGISHelpers/syncBluePointGraphicsCore.ts,TypeScript,32
Interface module with 31 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/resultTab/useResultTabTableViewCore.ts,TypeScript,31
Interface module with 31 lines of code,MEDIUM,RAW,2026-07-17,10,src/api-hooks/planImages/pointPlanImagesToAttachments.ts,TypeScript,31
Interface module with 30 lines of code,MEDIUM,RAW,2026-06-04,53,src/hooks/hover-click-handlers/useEditGeometryVerticesOnMap.ts,TypeScript,30
Interface module with 30 lines of code,MEDIUM,RAW,2026-07-22,5,src/hooks/flightPlan/flightPlanStandardSelectProps.ts,TypeScript,30
Interface module with 30 lines of code,MEDIUM,RAW,2026-07-13,14,src/helpers/ArcGISHelpers/flightPlanMapActions.ts,TypeScript,30
Interface module with 30 lines of code,MEDIUM,RAW,2026-06-04,53,src/hooks/features/useRenderGeometries.ts,TypeScript,30
Interface module with 29 lines of code,MEDIUM,RAW,2026-07-18,9,backend/src/configure/configureBodyParsersAndSwagger.ts,TypeScript,29
Interface module with 29 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/flightPlan/assembleFlightPlanCreateAttributes.ts,TypeScript,29
Interface module with 29 lines of code,MEDIUM,RAW,2026-06-04,53,src/hooks/features/useRenderPoints.ts,TypeScript,29
Interface module with 28 lines of code,MEDIUM,RAW,2026-06-04,53,src/hooks/hover-click-handlers/useFeatureLayerLabels.ts,TypeScript,28
Interface module with 28 lines of code,MEDIUM,RAW,2026-06-29,28,src/helpers/points/buildPointUpdatePayload.ts,TypeScript,28
Interface module with 28 lines of code,MEDIUM,RAW,2026-06-04,53,src/hooks/popUpModal/useHandleClosePopUp.ts,TypeScript,28
Interface module with 28 lines of code,MEDIUM,RAW,2026-07-13,14,src/hooks/points/useHerhalenSelectionHandlers.ts,TypeScript,28
Interface module with 26 lines of code,MEDIUM,RAW,2026-06-04,53,src/hooks/features/useHoverPointsAndGeometries.ts,TypeScript,26
Interface module with 26 lines of code,MEDIUM,RAW,2026-07-14,13,src/hooks/features/useResetPointFilters.ts,TypeScript,26
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,53,src/helpers/ArcGISHelpers/createMapView.ts,TypeScript,25
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,53,src/hooks/filters/useFilterPoints.ts,TypeScript,25
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,53,src/helpers/ArcGISHelpers/createYellowBorder.ts,TypeScript,25
Interface module with 24 lines of code,MEDIUM,RAW,2026-07-17,10,src/hooks/flightPlan/buildFlightPlanPayloadFields.ts,TypeScript,24
Interface module with 24 lines of code,MEDIUM,RAW,2026-06-10,47,src/hooks/wizard/useWizardButtons.ts,TypeScript,24
Interface module with 24 lines of code,MEDIUM,RAW,2026-06-04,53,src/helpers/ArcGISHelpers/getTransformedCoordinates.ts,TypeScript,24
Interface module with 24 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/wizard/clearMapSelectionGraphics.ts,TypeScript,24
Interface module with 24 lines of code,MEDIUM,RAW,2026-07-18,9,src/hooks/flightPlan/pickFlightPlanPersistenceFields.ts,TypeScript,24
