Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"3 parameters for unit LegendSection.tsx.resolveParentGate(string|undefined,boolean,boolean|undefined)",LOW,RAW,2026-07-18,0,"LegendSection.tsx.resolveParentGate(string|undefined,boolean,boolean|undefined)",src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSection.tsx#L38:47,TypeScript,6,3,3
"3 parameters for unit useBottomPanelDragListeners.ts.useBottomPanelDragListeners(ReturnType,any,void)",LOW,RAW,2026-07-18,0,"useBottomPanelDragListeners.ts.useBottomPanelDragListeners(ReturnType,any,void)",src/Components/HomePage/Body/MapViewComp/useBottomPanelDragListeners.ts#L5:13,TypeScript,6,1,3
"3 parameters for unit removeFlightPlanFilterEffects.ts.visibleRemovePlans(FlightPlanType[],any,boolean)",LOW,RAW,2026-07-18,0,"removeFlightPlanFilterEffects.ts.visibleRemovePlans(FlightPlanType[],any,boolean)",src/Components/HomePage/Body/Left/Voorbereiding/RemoveFlightPlan/removeFlightPlanFilterEffects.ts#L38:46,TypeScript,6,3,3
"3 parameters for unit LegendSectionLayoutProps.isLegendChildDisabled(string|undefined,boolean,boolean|undefined)",LOW,RAW,2026-07-18,0,"LegendSectionLayoutProps.isLegendChildDisabled(string|undefined,boolean,boolean|undefined)",src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSectionLayout.tsx#L20:29,TypeScript,6,4,3
"3 parameters for unit ImportPointsWriter.constructor(PoolClient,NormalizedImportRow[],unknown[])",LOW,RAW,2026-07-01,17,"ImportPointsWriter.constructor(PoolClient,NormalizedImportRow[],unknown[])",backend/src/helpers/points/createPointFromImportDb.ts#L78:86,TypeScript,5,1,3
"3 parameters for unit buildEditPointStep2Sub1Handlers.ts.buildEditPointStep2Sub1Handlers(Pick<EditPointMapStepProps, ""setSubStep"" | ""setStep"" | ""handleSubmit"">,ReturnType,any)",LOW,RAW,2026-07-18,0,"buildEditPointStep2Sub1Handlers.ts.buildEditPointStep2Sub1Handlers(Pick<EditPointMapStepProps, ""setSubStep"" | ""setStep"" | ""handleSubmit"">,ReturnType,any)",src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/buildEditPointStep2Sub1Handlers.ts#L4:9,TypeScript,5,1,3
"4 parameters for unit useWizardCleanup.ts.runWizardCleanup(Array,any,any,any)",LOW,RAW,2026-06-10,38,"useWizardCleanup.ts.runWizardCleanup(Array,any,any,any)",src/hooks/wizard/useWizardCleanup.ts#L1:7,TypeScript,5,2,4
"3 parameters for unit fetchFlightPlanListHelpers.ts.buildFlightPlanErrorMessage(string,string,boolean)",LOW,RAW,2026-07-18,0,"fetchFlightPlanListHelpers.ts.buildFlightPlanErrorMessage(string,string,boolean)",backend/src/helpers/queries/flight-plans/fetchFlightPlanListHelpers.ts#L84:92,TypeScript,5,3,3
"3 parameters for unit reportUpload.ts.fileFilter(express.Request,Express.Multer.File,multer.FileFilterCallback)",LOW,RAW,2026-07-13,5,"reportUpload.ts.fileFilter(express.Request,Express.Multer.File,multer.FileFilterCallback)",backend/src/routes/reportUpload.ts#L26:30,TypeScript,5,4,3
"3 parameters for unit useGetFlightTimesDistance.ts.useGetFlightTimesDistance(any,any,any)",LOW,RAW,2026-07-17,1,"useGetFlightTimesDistance.ts.useGetFlightTimesDistance(any,any,any)",src/hooks/useGetFlightTimesDistance.ts#L10:16,TypeScript,5,1,3
