Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 22 lines of code,HIGH,RAW,2026-07-14,4,src/api-hooks/templateFlights/useTemplateFlights.ts,TypeScript,22
Interface module with 22 lines of code,HIGH,RAW,2026-07-14,4,src/api-hooks/points/usePointLookupQueries.ts,TypeScript,22
Interface module with 21 lines of code,HIGH,RAW,2026-06-04,44,src/hooks/useLogAction.ts,TypeScript,21
Interface module with 19 lines of code,HIGH,RAW,2026-07-14,4,src/api-hooks/flightPlans/useFlightPlanLookupQueries.ts,TypeScript,19
Interface module with 17 lines of code,HIGH,RAW,2026-07-04,14,src/hooks/consts/useConstSelectOptions.ts,TypeScript,17
Interface module with 15 lines of code,HIGH,RAW,2026-07-14,4,src/api-hooks/finishedPlans/usePlanPointAttachments.ts,TypeScript,15
Interface module with 14 lines of code,HIGH,RAW,2026-06-04,44,src/hooks/useGetFlightTimesDistance.ts,TypeScript,14
Interface module with 13 lines of code,HIGH,RAW,2026-07-04,14,src/api-hooks/consts/useLookupQuery.ts,TypeScript,13
Interface module with 11 lines of code,HIGH,RAW,2026-06-04,44,src/helpers/refreshToken.ts,TypeScript,11
Interface module with 10 lines of code,HIGH,RAW,2026-07-14,4,src/api-hooks/emails/useEmailsList.ts,TypeScript,10
Interface module with 93 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/centerAndZoomMath.ts,TypeScript,93
Interface module with 78 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/geometryMapGraphicFactories.ts,TypeScript,78
Interface module with 74 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/pointMapGraphicActions.ts,TypeScript,74
Interface module with 72 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/points/flightPlanPointExcel.ts,TypeScript,72
Interface module with 67 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/geometryMapGraphicActions.ts,TypeScript,67
Interface module with 64 lines of code,MEDIUM,RAW,2026-06-29,19,src/hooks/points/sortPointsWithSelectionOrder.ts,TypeScript,64
Interface module with 60 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/tableExports/shapefileExport.ts,TypeScript,60
Interface module with 60 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/bufferPointsOnLayer.ts,TypeScript,60
Interface module with 55 lines of code,MEDIUM,RAW,2026-07-17,1,src/api-hooks/mutations/useCreateData.ts,TypeScript,55
Interface module with 54 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/planBoundingBoxGeometry.ts,TypeScript,54
Interface module with 53 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/tableExports/csvExport.ts,TypeScript,53
Interface module with 53 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/createGeometryGraphicCore.ts,TypeScript,53
Interface module with 50 lines of code,MEDIUM,RAW,2026-07-17,1,src/hooks/zustand/shared/flightPlanFormSetters.ts,TypeScript,50
Interface module with 49 lines of code,MEDIUM,RAW,2026-07-17,1,src/api-hooks/mutations/useUpdateData.ts,TypeScript,49
Interface module with 48 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/tableExports/xlsxExport.ts,TypeScript,48
Interface module with 47 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/planStarGraphics.ts,TypeScript,47
Interface module with 45 lines of code,MEDIUM,RAW,2026-07-17,1,src/api-hooks/mutations/useDeleteData.ts,TypeScript,45
Interface module with 45 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/bufferFlightPlansOnLayer.ts,TypeScript,45
Interface module with 43 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/pointMapGraphicFactories.ts,TypeScript,43
Interface module with 41 lines of code,MEDIUM,RAW,2026-06-10,38,src/hooks/layout/useResizableSidebar.ts,TypeScript,41
Interface module with 41 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/pointGraphicFactory.ts,TypeScript,41
Interface module with 40 lines of code,MEDIUM,RAW,2026-07-13,5,src/hooks/points/useWizardPointsFilterHeader.tsx,TypeScript,40
Interface module with 40 lines of code,MEDIUM,RAW,2026-06-04,44,src/hooks/hover-click-handlers/useDrawPath.ts,TypeScript,40
Interface module with 39 lines of code,MEDIUM,RAW,2026-07-04,14,src/hooks/flightPlan/buildFlightPlanCreateAttributes.ts,TypeScript,39
Interface module with 39 lines of code,MEDIUM,RAW,2026-06-29,19,src/hooks/resultTab/useResultTabStarredPointActions.ts,TypeScript,39
Interface module with 39 lines of code,MEDIUM,RAW,2026-06-04,44,src/hooks/useTimeRange.ts,TypeScript,39
Interface module with 38 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/finishedPlanCentroidMarkers.ts,TypeScript,38
Interface module with 38 lines of code,MEDIUM,RAW,2026-06-04,44,src/hooks/hover-click-handlers/useFeatureLayerPopup.ts,TypeScript,38
Interface module with 38 lines of code,MEDIUM,RAW,2026-06-04,44,src/hooks/hover-click-handlers/useNearestPointClick.ts,TypeScript,38
Interface module with 37 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/tableExports/geoJsonExport.ts,TypeScript,37
Interface module with 37 lines of code,MEDIUM,RAW,2026-06-10,38,src/hooks/viewPlan/useMapPointSelectionClick.ts,TypeScript,37
Interface module with 35 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/geo/buildCoordinateSyncPatch.ts,TypeScript,35
Interface module with 35 lines of code,MEDIUM,RAW,2026-07-18,0,src/hooks/flightPlan/pickFlightPlanPersistenceFields.ts,TypeScript,35
Interface module with 34 lines of code,MEDIUM,RAW,2026-07-13,5,src/hooks/resultTab/useResultTabMoreMenu.ts,TypeScript,34
Interface module with 34 lines of code,MEDIUM,RAW,2026-07-13,5,src/hooks/flightPlan/flightPlanFormLabels.ts,TypeScript,34
Interface module with 32 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/centerAndZoomFromPlan.ts,TypeScript,32
Interface module with 32 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/syncBluePointGraphics.ts,TypeScript,32
Interface module with 32 lines of code,MEDIUM,RAW,2026-07-15,3,src/hooks/filters/useFilteredSortedPlans.ts,TypeScript,32
Interface module with 32 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/buildPlanBoundingBoxGraphic.ts,TypeScript,32
Interface module with 31 lines of code,MEDIUM,RAW,2026-07-13,5,src/hooks/resultTab/useResultTabTableView.ts,TypeScript,31
Interface module with 30 lines of code,MEDIUM,RAW,2026-06-04,44,src/hooks/hover-click-handlers/useEditGeometryVerticesOnMap.ts,TypeScript,30
Interface module with 30 lines of code,MEDIUM,RAW,2026-06-04,44,src/hooks/features/useRenderGeometries.ts,TypeScript,30
Interface module with 29 lines of code,MEDIUM,RAW,2026-07-18,0,backend/src/configure/configureBodyParsersAndSwagger.ts,TypeScript,29
Interface module with 29 lines of code,MEDIUM,RAW,2026-06-04,44,src/hooks/features/useRenderPoints.ts,TypeScript,29
Interface module with 28 lines of code,MEDIUM,RAW,2026-06-04,44,src/hooks/hover-click-handlers/useFeatureLayerLabels.ts,TypeScript,28
Interface module with 28 lines of code,MEDIUM,RAW,2026-06-29,19,src/helpers/points/buildPointUpdatePayload.ts,TypeScript,28
Interface module with 28 lines of code,MEDIUM,RAW,2026-07-13,5,src/helpers/ArcGISHelpers/flightPlanMapActions.ts,TypeScript,28
Interface module with 28 lines of code,MEDIUM,RAW,2026-06-04,44,src/hooks/popUpModal/useHandleClosePopUp.ts,TypeScript,28
Interface module with 28 lines of code,MEDIUM,RAW,2026-07-13,5,src/hooks/points/useHerhalenSelectionHandlers.ts,TypeScript,28
Interface module with 27 lines of code,MEDIUM,RAW,2026-07-17,1,src/helpers/ArcGISHelpers/pointGraphicCoordinates.ts,TypeScript,27
Interface module with 27 lines of code,MEDIUM,RAW,2026-06-04,44,src/helpers/ArcGISHelpers/getTransformedCoordinates.ts,TypeScript,27
Interface module with 26 lines of code,MEDIUM,RAW,2026-06-04,44,src/hooks/features/useHoverPointsAndGeometries.ts,TypeScript,26
Interface module with 26 lines of code,MEDIUM,RAW,2026-07-14,4,src/hooks/features/useResetPointFilters.ts,TypeScript,26
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,44,src/helpers/ArcGISHelpers/createMapView.ts,TypeScript,25
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,44,src/hooks/filters/useFilterPoints.ts,TypeScript,25
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,44,src/helpers/ArcGISHelpers/createYellowBorder.ts,TypeScript,25
Interface module with 24 lines of code,MEDIUM,RAW,2026-07-17,1,src/hooks/flightPlan/buildFlightPlanPayloadFields.ts,TypeScript,24
Interface module with 24 lines of code,MEDIUM,RAW,2026-06-10,38,src/hooks/wizard/useWizardButtons.ts,TypeScript,24
Interface module with 24 lines of code,MEDIUM,RAW,2026-07-17,1,src/api-hooks/planImages/pointPlanImagesToAttachments.ts,TypeScript,24
Interface module with 23 lines of code,MEDIUM,RAW,2026-07-13,5,src/hooks/flightPlan/collectUniquePlanPointIds.ts,TypeScript,23
Interface module with 22 lines of code,MEDIUM,RAW,2026-06-04,44,src/hooks/hover-click-handlers/useDrawYellowMarkers.ts,TypeScript,22
Interface module with 22 lines of code,MEDIUM,RAW,2026-06-04,44,src/helpers/filterPlans.ts,TypeScript,22
