Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
16 lines of code for unit timesliderPlanImagesFetch.ts.queryTimesliderPlanImages(any),LOW,RAW,2026-07-18,0,timesliderPlanImagesFetch.ts.queryTimesliderPlanImages(any),backend/src/helpers/queries/timeslider/timesliderPlanImagesFetch.ts#L10:28,TypeScript,16,1,1
16 lines of code for unit DeletePointFormFields.pickDeletePointFormFields(DeletePoint),LOW,RAW,2026-06-29,19,DeletePointFormFields.pickDeletePointFormFields(DeletePoint),src/hooks/zustand/tools/useDeletePointState.ts#L79:96,TypeScript,16,1,1
16 lines of code for unit Step2OtpFailureInput.respondToStep2OtpFailure(Step2OtpFailureInput),LOW,RAW,2026-07-18,0,Step2OtpFailureInput.respondToStep2OtpFailure(Step2OtpFailureInput),backend/src/routes/auth2/loginFlowHelpers.ts#L42:60,TypeScript,16,3,1
16 lines of code for unit showTable.ts,LOW,RAW,2026-06-04,44,showTable.ts,src/helpers/ZustandStates/showTable.ts#L1:42,TypeScript,16,1,0
"16 lines of code for unit pickFlightPlanPersistenceFields.ts.mergeFlightPlanPersistenceFields(T,Partial<FlightPlanPersistenceFields>)",LOW,RAW,2026-07-18,0,"pickFlightPlanPersistenceFields.ts.mergeFlightPlanPersistenceFields(T,Partial<FlightPlanPersistenceFields>)",src/hooks/flightPlan/pickFlightPlanPersistenceFields.ts#L21:39,TypeScript,16,19,2
"16 lines of code for unit deleteFotoFromArcgis.ts.deleteFotoFromArcgis(AttachmentType,void)",LOW,RAW,2026-07-18,0,"deleteFotoFromArcgis.ts.deleteFotoFromArcgis(AttachmentType,void)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/deleteFotoFromArcgis.ts#L5:23,TypeScript,16,6,2
16 lines of code for unit swaggerInfo.ts.buildSwaggerInfo(),LOW,RAW,2026-07-18,0,swaggerInfo.ts.buildSwaggerInfo(),backend/src/routes/swaggerInfo.ts#L1:16,TypeScript,16,1,0
"16 lines of code for unit BuildFlightPlanQueryOptions.resolveFlightPlanQueryScalars(BuildFlightPlanQueryOptions,string)",LOW,RAW,2026-07-18,0,"BuildFlightPlanQueryOptions.resolveFlightPlanQueryScalars(BuildFlightPlanQueryOptions,string)",backend/src/helpers/queries/flight-plans/buildFlightPlanQueryParts.ts#L56:74,TypeScript,16,7,2
16 lines of code for unit GeometryItemCheckBox.tsx.GeometryItemCheckBox(any),LOW,RAW,2026-07-04,14,GeometryItemCheckBox.tsx.GeometryItemCheckBox(any),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/GeometryItemCheckBox.tsx#L5:87,TypeScript,16,2,1
"16 lines of code for unit AttachmentUpdateInput.deleteOrphanedAttachments(PoolClient,number[])",LOW,RAW,2026-07-18,0,"AttachmentUpdateInput.deleteOrphanedAttachments(PoolClient,number[])",backend/src/helpers/queries/finished-plans/updateFinishedPointAttachmentsTx.ts#L48:66,TypeScript,16,2,2
