WorkPackageID,Category,Status,Severity,Description,File,Unit,LOC,Complexity,Parameters,FanIn,WorkPackageName,Phase
ARCH-03,Component independence,RAW,HIGH,Interface module with 18 lines of code,src/api-hooks/flightPlans/useFlightPlansList.ts,,18,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 17 lines of code,src/api-hooks/flightPlans/useSearchedFlightPlans.ts,,17,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 17 lines of code,src/api-hooks/points/useSearchedPoints.ts,,17,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 15 lines of code,src/hooks/consts/useGetActiviteis.ts,,15,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 15 lines of code,src/hooks/consts/useGetLuchtvaartuig.ts,,15,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 15 lines of code,src/hooks/consts/useGetOrganisaties.ts,,15,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 15 lines of code,src/hooks/consts/useGetPiloot.ts,,15,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 15 lines of code,src/hooks/consts/useGetRegios.ts,,15,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 15 lines of code,src/hooks/consts/useGetWaarnemers.ts,,15,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 14 lines of code,src/api-hooks/finishedPlans/useFinishedPlanPath.ts,,14,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 14 lines of code,src/api-hooks/finishedPlans/useSingleFinishedPlan.ts,,14,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 13 lines of code,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/attachmentDisplayUrl.ts,,13,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 13 lines of code,src/api-hooks/points/useDuplicateOmschrijvingCount.ts,,13,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 12 lines of code,src/api-hooks/consts/useActiviteitenQuery.ts,,12,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 12 lines of code,src/api-hooks/consts/useLuchtvaartuigQuery.ts,,12,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 12 lines of code,src/api-hooks/consts/useOrganisatiesQuery.ts,,12,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 12 lines of code,src/api-hooks/consts/usePilotenQuery.ts,,12,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 12 lines of code,src/api-hooks/consts/useRegiosQuery.ts,,12,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 12 lines of code,src/api-hooks/consts/useWaarnemersQuery.ts,,12,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 12 lines of code,src/api-hooks/flightPlans/usePointFlightPlans.ts,,12,,,,Component independence,6 - Architecture
ARCH-03,Component independence,RAW,HIGH,Interface module with 10 lines of code,src/api-hooks/emails/useEmailsList.ts,,10,,,,Component independence,6 - Architecture
ARCH-02,Module coupling,RAW,HIGH,Fan-in of 142 for module with 5 lines of code,src/hooks/useContent.ts,,5,,,142,Module coupling,6 - Architecture
