WorkPackageID,Category,Status,Severity,Type,Weakness,File,Line,Origin,FirstSeen,IssueAge,WorkPackageName,Phase,DependsOn
DO-01,Security,RAW,HIGH,Missing User Instruction,CWE-266,dockerfile,22,KICS,2026-06-04,26,Docker non-root USER,1 - Docker,DO-00
DO-01,Security,RAW,HIGH,Missing User Instruction,CWE-266,backend/dockerfile,4,KICS,2026-06-04,26,Docker non-root USER,1 - Docker,DO-00
