Description,Severity,Status,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
10 lines occurring 3 times in 3 files,HIGH,RAW,1,10,20,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Block1/Section2.tsx#L36:47,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Overig/Section2.tsx#L51:62,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Overig/Section3.tsx#L50:61"
10 lines occurring 3 times,HIGH,RAW,2,10,20,3,true,true,TypeScript,"backend/src/routes/flightPlans/createFlightPlan.ts#L9:18,backend/src/routes/flightPlans/createFlightPlan.ts#L47:56,backend/src/routes/flightPlans/createFlightPlan.ts#L73:82"
10 lines occurring 3 times in 3 files,HIGH,RAW,1,10,20,3,false,true,TypeScript,"src/Components/DashboardPage/AllRoles/index.tsx#L15:26,src/Components/DashboardPage/EditUser/index.tsx#L24:35,src/Components/DashboardPage/AddUser/index.tsx#L24:35"
10 lines occurring 3 times in 2 files,HIGH,RAW,2,10,20,3,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/GeometriesTable/index.tsx#L77:90,src/Components/HomePage/Body/Bottom/PointsView/GeometriesTable/index.tsx#L137:150,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L92:105"
10 lines occurring 3 times in 3 files,HIGH,RAW,2,10,20,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/PointsList.tsx#L32:47,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/PointsList.tsx#L36:51,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/PointsList.tsx#L49:64"
19 lines occurring 2 times in 2 files,HIGH,RAW,2,19,19,2,false,true,TypeScript,"backend/src/routes/flightPlans/getAllFlightPlans.ts#L5:24,backend/src/routes/flightPlans/getPrepreparedFlightPlans.ts#L5:24"
7 lines occurring 12 times in 8 files,HIGH,RAW,1,7,77,12,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L86:93,src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L103:110,src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L146:153,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/List.tsx#L60:67,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/List.tsx#L126:133,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L49:56,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L70:77,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L92:99,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/SinglePlan.tsx#L95:102,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L129:136,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L148:155,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L176:183"
19 lines occurring 2 times in 2 files,HIGH,RAW,1,19,19,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/index.tsx#L16:48,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/index.tsx#L23:55"
19 lines occurring 2 times in 2 files,HIGH,RAW,1,19,19,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L120:145,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L55:80"
19 lines occurring 2 times in 2 files,HIGH,RAW,1,19,19,2,false,true,TypeScript,"src/Components/DashboardPage/AddUser/index.tsx#L56:85,src/Components/DashboardPage/EditUser/index.tsx#L66:95"
19 lines occurring 2 times,HIGH,RAW,2,19,19,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/PointsBuffer.tsx#L36:61,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/PointsBuffer.tsx#L117:142"
18 lines occurring 2 times in 2 files,HIGH,RAW,1,18,18,2,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L98:123,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L171:196"
18 lines occurring 2 times in 2 files,HIGH,RAW,1,18,18,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L67:92,src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L82:107"
18 lines occurring 2 times in 2 files,HIGH,RAW,2,18,18,2,false,true,TypeScript,"backend/src/routes/flightPlans/getFlightPlanById.ts#L11:28,backend/src/routes/flightPlans/getSearchedFlightPlans.ts#L16:33"
9 lines occurring 5 times in 5 files,HIGH,RAW,1,9,36,5,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L39:47,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L44:52,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/Buttons.tsx#L59:67,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L82:90,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L90:98"
9 lines occurring 5 times in 3 files,HIGH,RAW,1,9,36,5,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/flightPlanStates.ts#L79:91,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/flightPlanStates.ts#L135:147,src/hooks/zustand/nabewerking/useFinishedPlansState.ts#L116:128,src/hooks/zustand/useReuseFlightPlan.ts#L115:127,src/hooks/zustand/useReuseFlightPlan.ts#L177:189"
18 lines occurring 2 times in 2 files,HIGH,RAW,2,18,18,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L19:36,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/index.tsx#L18:35"
8 lines occurring 8 times in 6 files,HIGH,RAW,1,8,56,8,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L75:83,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L61:69,src/Components/HomePage/Body/Bottom/PointsView/PointsTable/index.tsx#L72:80,src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L90:98,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L100:108,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L163:171,src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L94:102,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L102:110"
18 lines occurring 2 times in 2 files,HIGH,RAW,2,18,18,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/PointsList.tsx#L52:81,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/PointsList.tsx#L69:98"
18 lines occurring 2 times in 2 files,HIGH,RAW,2,18,18,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx#L70:92,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts#L19:41"
18 lines occurring 2 times in 2 files,HIGH,RAW,2,18,18,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/helpers/usePlanDuplicateState.ts#L17:42,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/helpers/useViewPlanState.ts#L32:57"
17 lines occurring 2 times in 2 files,HIGH,RAW,2,17,17,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L82:106,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L119:143"
17 lines occurring 2 times,HIGH,RAW,2,17,17,2,true,true,TypeScript,"src/hooks/zustand/useEnrichedPointState.ts#L73:95,src/hooks/zustand/useEnrichedPointState.ts#L122:144"
17 lines occurring 2 times in 2 files,HIGH,RAW,2,17,17,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L60:84,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L138:162"
17 lines occurring 2 times in 2 files,HIGH,RAW,1,17,17,2,false,true,TypeScript,"backend/src/routes/flightPlans/getFullPreparedFlightPlans.ts#L5:23,backend/src/routes/flightPlans/getUnPreparedPlans.ts#L5:23"
17 lines occurring 2 times in 2 files,HIGH,RAW,2,17,17,2,false,true,TypeScript,"backend/src/routes/finished_plans/getPartialFinishedPlans.ts#L63:87,backend/src/routes/finished_plans/getSingleFinishedFlightPlan.ts#L121:145"
17 lines occurring 2 times in 2 files,HIGH,RAW,2,17,17,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/Layout/index.tsx#L34:55,src/Components/HomePage/Body/Right/index.tsx#L34:55"
17 lines occurring 2 times in 2 files,HIGH,RAW,2,17,17,2,false,true,TypeScript,"backend/src/routes/finished_plans/getFinishedFlightPlans.ts#L13:29,backend/src/routes/finished_plans/getSingleFinishedFlightPlan.ts#L67:83"
17 lines occurring 2 times in 2 files,HIGH,RAW,2,17,17,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L9:28,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L11:30"
17 lines occurring 2 times,HIGH,RAW,2,17,17,2,true,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L91:116,src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L134:159"
16 lines occurring 2 times in 2 files,HIGH,RAW,2,16,16,2,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L92:116,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/List.tsx#L49:73"
8 lines occurring 7 times in 5 files,HIGH,RAW,1,8,48,7,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/GeometriesTable/index.tsx#L78:87,src/Components/HomePage/Body/Bottom/PointsView/GeometriesTable/index.tsx#L138:147,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/processGeometry.ts#L80:89,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/SingleGeometry.tsx#L40:49,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/SingleGeometry.tsx#L140:149,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/hooks/useGeometryHandlers.ts#L31:40,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L93:102"
16 lines occurring 2 times in 2 files,HIGH,RAW,2,16,16,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Block1/Section2.tsx#L32:60,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Overig/Section2.tsx#L47:70"
15 lines occurring 2 times in 2 files,HIGH,RAW,1,15,15,2,false,true,TypeScript,"backend/src/routes/flightPlans/getFullPreparedFlightPlans.ts#L46:63,backend/src/routes/flightPlans/getUnPreparedPlans.ts#L39:57"
15 lines occurring 2 times in 2 files,HIGH,RAW,2,15,15,2,false,true,TypeScript,"backend/src/routes/flightPlans/createFlightPlan.ts#L5:19,backend/src/routes/flightPlans/updateVluchtPlan.ts#L5:19"
15 lines occurring 2 times in 2 files,HIGH,RAW,2,15,15,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L151:168,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx#L150:167"
15 lines occurring 2 times,HIGH,RAW,2,15,15,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Foto/CreateImageBtn.tsx#L104:128,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Foto/CreateImageBtn.tsx#L162:186"
15 lines occurring 2 times in 2 files,HIGH,RAW,2,15,15,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/index.tsx#L38:52,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step1.tsx#L50:64"
15 lines occurring 2 times in 2 files,HIGH,RAW,1,15,15,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Overig/Section1.tsx#L52:74,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Overig/Section3.tsx#L57:79"
15 lines occurring 2 times in 2 files,HIGH,RAW,2,15,15,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L129:152,src/hooks/hover-click-handlers/usePlanHover.ts#L22:45"
15 lines occurring 2 times,HIGH,RAW,2,15,15,2,true,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/GeometriesTable/index.tsx#L68:90,src/Components/HomePage/Body/Bottom/PointsView/GeometriesTable/index.tsx#L128:150"
14 lines occurring 2 times in 2 files,HIGH,RAW,2,14,14,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/flightPlanStates.ts#L5:24,src/hooks/zustand/useReuseFlightPlan.ts#L32:51"
14 lines occurring 2 times in 2 files,HIGH,RAW,2,14,14,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/SinglePlan.tsx#L46:65,src/hooks/hover-click-handlers/usePlanHover.ts#L17:36"
14 lines occurring 2 times,HIGH,RAW,2,14,14,2,true,true,TypeScript,"src/hooks/zustand/useEnrichedPointState.ts#L51:70,src/hooks/zustand/useEnrichedPointState.ts#L99:118"
14 lines occurring 2 times in 2 files,HIGH,RAW,1,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx#L184:204,src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L154:174"
14 lines occurring 2 times in 2 files,HIGH,RAW,2,14,14,2,false,true,TypeScript,"backend/src/routes/timeslider/getFinishedPlansTimeslider.ts#L66:81,backend/src/routes/finished_plans/getPartialFinishedPlans.ts#L59:77"
14 lines occurring 2 times,HIGH,RAW,2,14,14,2,true,true,TypeScript,"backend/src/routes/flightPlans/createFlightPlan.ts#L47:60,backend/src/routes/flightPlans/createFlightPlan.ts#L73:86"
14 lines occurring 2 times in 2 files,HIGH,RAW,1,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L135:154,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/GroupFunctions.tsx#L182:201"
14 lines occurring 2 times in 2 files,HIGH,RAW,2,14,14,2,false,false,TypeScript,"backend/src/Types/index.ts#L1:14,src/Types/index.ts#L3:16"
14 lines occurring 2 times in 2 files,HIGH,RAW,2,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/helpers/getDistanceInMeters.ts#L2:17,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/index.tsx#L40:55"
14 lines occurring 2 times in 2 files,HIGH,RAW,2,14,14,2,false,false,TypeScript,"backend/src/Types/index.ts#L101:118,src/Types/index.ts#L139:156"
14 lines occurring 2 times in 2 files,HIGH,RAW,2,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Buttons.tsx#L39:52,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Buttons.tsx#L48:62"
14 lines occurring 2 times in 2 files,HIGH,RAW,2,14,14,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L132:146,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L240:254"
14 lines occurring 2 times in 2 files,HIGH,RAW,1,14,14,2,false,true,TypeScript,"src/hooks/zustand/nabewerking/useChangePlanStatusState.ts#L56:74,src/hooks/zustand/nabewerking/useCreateReportState.ts#L73:91"
14 lines occurring 2 times in 2 files,HIGH,RAW,2,14,14,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/SinglePlan.tsx#L84:102,src/hooks/hover-click-handlers/usePlanHover.ts#L11:29"
13 lines occurring 2 times in 2 files,HIGH,RAW,2,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step3/Form.tsx#L14:26,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Form.tsx#L18:30"
13 lines occurring 2 times in 2 files,HIGH,RAW,2,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx#L80:92,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx#L82:94"
13 lines occurring 2 times in 2 files,HIGH,RAW,2,13,13,2,false,true,TypeScript,"backend/src/routes/geometries/createGeometry.ts#L61:73,backend/src/routes/points/createPoint.ts#L32:44"
13 lines occurring 2 times in 2 files,HIGH,RAW,2,13,13,2,false,true,TypeScript,"backend/src/routes/geometries/getGeometries.ts#L9:21,backend/src/routes/template_plans/getTemplateFlightPlans.ts#L61:73"
13 lines occurring 2 times in 2 files,HIGH,RAW,2,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L78:91,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/index.tsx#L86:99"
13 lines occurring 2 times in 2 files,HIGH,RAW,1,13,13,2,false,true,TypeScript,"backend/src/routes/points/createPoint.ts#L5:17,backend/src/routes/points/editPoint.ts#L5:17"
13 lines occurring 2 times in 2 files,HIGH,RAW,2,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx#L21:33,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Form.tsx#L20:32"
13 lines occurring 2 times in 2 files,HIGH,RAW,1,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L90:107,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L163:180"
13 lines occurring 2 times in 2 files,HIGH,RAW,1,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/useGeometryPlanImages.ts#L53:71,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/usePointPlanImages.ts#L62:80"
13 lines occurring 2 times in 2 files,HIGH,RAW,1,13,13,2,false,true,TypeScript,"backend/src/routes/template_plans/createTemplateFlightPlan.ts#L11:29,backend/src/routes/template_plans/createTemplateName.ts#L11:29"
13 lines occurring 2 times in 2 files,HIGH,RAW,1,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L137:154,src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L154:171"
13 lines occurring 2 times in 2 files,HIGH,RAW,2,13,13,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/PointsList.tsx#L36:53,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/PointsList.tsx#L79:96"
13 lines occurring 2 times in 2 files,HIGH,RAW,1,13,13,2,false,true,TypeScript,"backend/src/routes/flightPlans/getFullPreparedFlightPlans.ts#L31:44,backend/src/routes/flightPlans/getUnPreparedPlans.ts#L24:37"
12 lines occurring 2 times,HIGH,RAW,2,12,12,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/Buttons.tsx#L52:71,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/Buttons.tsx#L97:116"
12 lines occurring 2 times in 2 files,HIGH,RAW,2,12,12,2,false,true,TypeScript,"backend/src/routes/flightPlans/createFlightPlan.ts#L70:82,backend/src/routes/flightPlans/updateVluchtPlan.ts#L50:62"
12 lines occurring 2 times in 2 files,HIGH,RAW,1,12,12,2,false,true,TypeScript,"backend/src/routes/devices-updates/checkDeviceStatus.ts#L5:22,backend/src/routes/devices-updates/triggerDeviceUpdate.ts#L5:22"
12 lines occurring 2 times in 2 files,HIGH,RAW,1,12,12,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Foto/CreateImageBtn.tsx#L35:55,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Foto/CreateImageBtn.tsx#L40:60"
12 lines occurring 2 times in 2 files,HIGH,RAW,2,12,12,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/PeriodFilter.tsx#L5:16,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/PeriodFilter.tsx#L5:16"
7 lines occurring 8 times in 6 files,HIGH,RAW,1,7,49,8,false,false,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx#L44:50,backend/src/routes/finished_plans/createFinishedPlan.ts#L118:124,backend/src/routes/geometries/createGeometry.ts#L62:68,backend/src/routes/points/createPoint.ts#L6:12,backend/src/routes/points/createPoint.ts#L33:39,backend/src/routes/points/createPoint.ts#L54:60,backend/src/routes/points/editPoint.ts#L6:12,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx#L48:54"
12 lines occurring 2 times,HIGH,RAW,2,12,12,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/templateFlightStates.ts#L27:43,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/templateFlightStates.ts#L47:63"
12 lines occurring 2 times in 2 files,HIGH,RAW,2,12,12,2,false,false,TypeScript,"backend/src/Types/index.ts#L24:35,src/Types/index.ts#L29:40"
12 lines occurring 2 times in 2 files,HIGH,RAW,2,12,12,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Form.tsx#L20:31,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/index.tsx#L17:28"
12 lines occurring 2 times,HIGH,RAW,2,12,12,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L184:200,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L317:332"
12 lines occurring 2 times in 2 files,HIGH,RAW,2,12,12,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/index.tsx#L190:208,src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useMapGraphics.ts#L51:67"
12 lines occurring 2 times in 2 files,HIGH,RAW,2,12,12,2,false,true,TypeScript,"backend/src/routes/finished_plans/getFinishedFlightPlans.ts#L43:54,backend/src/routes/finished_plans/getSingleFinishedFlightPlan.ts#L42:53"
12 lines occurring 2 times in 2 files,HIGH,RAW,2,12,12,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/flightPlanStates.ts#L8:24,src/hooks/zustand/nabewerking/useFinishedPlansState.ts#L39:55"
12 lines occurring 2 times in 2 files,HIGH,RAW,1,12,12,2,false,true,TypeScript,"src/helpers/timeslider/flightPlansYellowHighlights.ts#L87:104,src/helpers/timeslider/selectedPlansPointsList.ts#L170:188"
12 lines occurring 2 times in 2 files,HIGH,RAW,2,12,12,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L67:83,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L116:132"
12 lines occurring 2 times in 2 files,HIGH,RAW,2,12,12,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L39:51,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx#L39:51"
11 lines occurring 2 times in 2 files,HIGH,RAW,2,11,11,2,false,false,TypeScript,"backend/src/routes/keycloak/management/users/types.ts#L1:11,src/helpers/ZustandStates/usersManagementState.ts#L3:13"
11 lines occurring 2 times in 2 files,HIGH,RAW,1,11,11,2,false,true,TypeScript,"src/Components/DashboardPage/AddUser/index.tsx#L21:35,src/Components/DashboardPage/EditUser/index.tsx#L21:35"
11 lines occurring 2 times,HIGH,RAW,2,11,11,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/SinglePlan.tsx#L46:58,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/SinglePlan.tsx#L90:102"
11 lines occurring 2 times in 2 files,HIGH,RAW,2,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/Filter.tsx#L21:32,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/Filter.tsx#L28:39"
11 lines occurring 2 times in 2 files,HIGH,RAW,2,11,11,2,false,true,TypeScript,"backend/src/routes/points/editPointStatus.ts#L5:19,backend/src/routes/flightPlans/updateFlightPlanStatus.ts#L5:19"
11 lines occurring 2 times in 2 files,HIGH,RAW,2,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Form.tsx#L21:31,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L19:29"
11 lines occurring 2 times in 2 files,HIGH,RAW,2,11,11,2,false,false,TypeScript,"backend/src/Types/index.ts#L36:46,src/Types/index.ts#L42:52"
