Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"McCabe complexity of 14 for unit deleteFlightPlan.ts.deleteFlightPlan(Request,Response)",MEDIUM,RAW,2026-06-04,25,"deleteFlightPlan.ts.deleteFlightPlan(Request,Response)",backend/src/routes/flightPlans/deleteFlightPlan.ts#L5:122,TypeScript,90,14,2
McCabe complexity of 13 for unit index.tsx.AddPointToPlan(),MEDIUM,RAW,2026-06-04,25,index.tsx.AddPointToPlan(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/index.tsx#L23:165,TypeScript,88,13,0
McCabe complexity of 14 for unit usePopupController.ts.usePopupController(void),MEDIUM,RAW,2026-06-04,25,usePopupController.ts.usePopupController(void),src/hooks/popUpModal/usePopupController.ts#L13:132,TypeScript,84,14,1
"McCabe complexity of 19 for unit sendEmail.ts.RequestHandler(any,any)",MEDIUM,RAW,2026-06-04,25,"sendEmail.ts.RequestHandler(any,any)",backend/src/routes/emails/sendEmail.ts#L17:113,TypeScript,83,19,2
McCabe complexity of 17 for unit useRenderGeometries.ts.useRenderGeometries(),MEDIUM,RAW,2026-06-04,25,useRenderGeometries.ts.useRenderGeometries(),src/hooks/features/useRenderGeometries.ts#L15:114,TypeScript,83,17,0
McCabe complexity of 13 for unit handleSubmit(),MEDIUM,RAW,2026-06-04,25,handleSubmit(),src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Buttons.tsx#L40:163,TypeScript,81,13,0
"McCabe complexity of 21 for unit getPoints.ts.getPoints(Request,Response)",MEDIUM,RAW,2026-06-04,25,"getPoints.ts.getPoints(Request,Response)",backend/src/routes/points/getPoints.ts#L5:109,TypeScript,81,21,2
"McCabe complexity of 13 for unit createUser.ts.createUser(any,Request)",MEDIUM,RAW,2026-06-04,25,"createUser.ts.createUser(any,Request)",backend/src/routes/keycloak/management/users/createUser.ts#L8:111,TypeScript,80,13,2
"McCabe complexity of 15 for unit useRenderGeometries.ts.useRenderGeometries(FinishedFlightPlanType|null,number[])",MEDIUM,RAW,2026-06-04,25,"useRenderGeometries.ts.useRenderGeometries(FinishedFlightPlanType|null,number[])",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/hooks/useRenderGeometries.ts#L10:99,TypeScript,75,15,2
McCabe complexity of 23 for unit updateLabels(),MEDIUM,RAW,2026-06-04,25,updateLabels(),src/hooks/hover-click-handlers/useFeatureLayerLabels.ts#L31:120,TypeScript,75,23,0
"McCabe complexity of 22 for unit postProxyHandler.ts.arcgisPostProxyHandler(Request,Response)",MEDIUM,RAW,2026-06-04,25,"postProxyHandler.ts.arcgisPostProxyHandler(Request,Response)",backend/src/routes/arcgis/postProxyHandler.ts#L14:108,TypeScript,74,22,2
McCabe complexity of 22 for unit useFeatureLayerPopup.ts.useFeatureLayerPopup(),MEDIUM,RAW,2026-06-04,25,useFeatureLayerPopup.ts.useFeatureLayerPopup(),src/hooks/hover-click-handlers/useFeatureLayerPopup.ts#L16:20,TypeScript,74,22,0
McCabe complexity of 14 for unit handleStep2(),MEDIUM,RAW,2026-06-04,25,handleStep2(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/index.ts#L38:180,TypeScript,74,14,0
McCabe complexity of 13 for unit index.tsx.Main(),MEDIUM,RAW,2026-06-04,25,index.tsx.Main(),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/Main/index.tsx#L11:132,TypeScript,73,13,0
McCabe complexity of 11 for unit useRenderPoints.ts.useRenderPoints(),MEDIUM,RAW,2026-06-04,25,useRenderPoints.ts.useRenderPoints(),src/hooks/features/useRenderPoints.ts#L16:99,TypeScript,72,11,0
"McCabe complexity of 20 for unit createGeometryGraphic.ts.createGeometryGraphic(BaseGeometryData,CreateGeometryGraphicOptions)",MEDIUM,RAW,2026-06-04,25,"createGeometryGraphic.ts.createGeometryGraphic(BaseGeometryData,CreateGeometryGraphicOptions)",src/helpers/ArcGISHelpers/createGeometryGraphic.ts#L162:255,TypeScript,72,20,2
McCabe complexity of 25 for unit usePathPointHandlerClick.ts.usePathPointHandlerClick(),MEDIUM,RAW,2026-06-04,25,usePathPointHandlerClick.ts.usePathPointHandlerClick(),src/hooks/hover-click-handlers/usePathPointHandlerClick.ts#L17:108,TypeScript,71,25,0
McCabe complexity of 13 for unit handleDrawingTool(string),MEDIUM,RAW,2026-06-04,25,handleDrawingTool(string),src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/Options.tsx#L50:141,TypeScript,69,13,1
McCabe complexity of 25 for unit useDrawPath.ts.useDrawPath(boolean),MEDIUM,RAW,2026-06-04,25,useDrawPath.ts.useDrawPath(boolean),src/hooks/hover-click-handlers/useDrawPath.ts#L11:162,TypeScript,66,25,1
McCabe complexity of 16 for unit index.tsx.ViewPlan(any),MEDIUM,RAW,2026-06-04,25,index.tsx.ViewPlan(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/index.tsx#L24:69,TypeScript,63,16,1
McCabe complexity of 11 for unit useFeatureLayerLabels.ts.useFeatureLayerLabels(),MEDIUM,RAW,2026-06-04,25,useFeatureLayerLabels.ts.useFeatureLayerLabels(),src/hooks/hover-click-handlers/useFeatureLayerLabels.ts#L9:30,TypeScript,59,11,0
McCabe complexity of 14 for unit handleSubmit(React.FormEvent),MEDIUM,RAW,2026-06-04,25,handleSubmit(React.FormEvent),src/Components/DashboardPage/EditUser/index.tsx#L40:108,TypeScript,58,14,1
McCabe complexity of 15 for unit PointItemCheckBox.tsx.PointItemCheckBox(any),MEDIUM,RAW,2026-06-04,25,PointItemCheckBox.tsx.PointItemCheckBox(any),src/Components/HomePage/Body/Left/Common/PointItemCheckBox.tsx#L10:161,TypeScript,58,15,1
