Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"3 parameters for unit ImportPointsWriter.constructor(PoolClient,NormalizedImportRow[],unknown[])",LOW,RAW,2026-07-01,21,"ImportPointsWriter.constructor(PoolClient,NormalizedImportRow[],unknown[])",backend/src/helpers/points/createPointFromImportDb.ts#L78:86,TypeScript,5,1,3
"3 parameters for unit buildEditPointStep2Sub1Handlers.ts.buildEditPointStep2Sub1Handlers(Pick<EditPointMapStepProps, ""setSubStep"" | ""setStep"" | ""handleSubmit"">,ReturnType,any)",LOW,RAW,2026-07-18,4,"buildEditPointStep2Sub1Handlers.ts.buildEditPointStep2Sub1Handlers(Pick<EditPointMapStepProps, ""setSubStep"" | ""setStep"" | ""handleSubmit"">,ReturnType,any)",src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/buildEditPointStep2Sub1Handlers.ts#L4:9,TypeScript,5,1,3
"4 parameters for unit useWizardCleanup.ts.runWizardCleanup(Array,any,any,any)",LOW,RAW,2026-06-10,42,"useWizardCleanup.ts.runWizardCleanup(Array,any,any,any)",src/hooks/wizard/useWizardCleanup.ts#L1:7,TypeScript,5,2,4
"3 parameters for unit runReturningUpdate.ts.shouldReportNotFound(QueryResult,boolean,UpdateExecutionConfig)",LOW,RAW,2026-07-22,0,"runReturningUpdate.ts.shouldReportNotFound(QueryResult,boolean,UpdateExecutionConfig)",backend/src/helpers/http/runReturningUpdate.ts#L60:68,TypeScript,5,3,3
"3 parameters for unit reportUpload.ts.fileFilter(express.Request,Express.Multer.File,multer.FileFilterCallback)",LOW,RAW,2026-07-13,9,"reportUpload.ts.fileFilter(express.Request,Express.Multer.File,multer.FileFilterCallback)",backend/src/routes/reportUpload.ts#L27:31,TypeScript,5,4,3
"3 parameters for unit useGetFlightTimesDistance.ts.useGetFlightTimesDistance(any,any,any)",LOW,RAW,2026-07-17,5,"useGetFlightTimesDistance.ts.useGetFlightTimesDistance(any,any,any)",src/hooks/useGetFlightTimesDistance.ts#L10:16,TypeScript,5,1,3
"3 parameters for unit FlightPlanListResolvedErrorOptions.buildFlightPlanErrorMessage(string,string,boolean)",LOW,RAW,2026-07-22,0,"FlightPlanListResolvedErrorOptions.buildFlightPlanErrorMessage(string,string,boolean)",backend/src/helpers/queries/flight-plans/sendFlightPlanListError.ts#L10:18,TypeScript,5,3,3
"3 parameters for unit helpers.ts.getUserRolesForRequest(string,any,any)",LOW,RAW,2026-06-29,23,"helpers.ts.getUserRolesForRequest(string,any,any)",backend/src/routes/keycloak/management/users/helpers.ts#L53:56,TypeScript,4,1,3
"3 parameters for unit installersUpload.ts.filename(any,any,any)",LOW,RAW,2026-07-13,9,"installersUpload.ts.filename(any,any,any)",backend/src/routes/installersUpload.ts#L12:15,TypeScript,4,2,3
"3 parameters for unit selectPoint(any,any,any)",LOW,RAW,2026-07-14,8,"selectPoint(any,any,any)",src/hooks/features/useRenderPoints.ts#L22:25,TypeScript,4,1,3
"3 parameters for unit selectAction(Parameters,any,string)",LOW,RAW,2026-07-14,8,"selectAction(Parameters,any,string)",src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/SelectedPointDetails/index.tsx#L21:27,TypeScript,4,1,3
"3 parameters for unit buildDeletePointStep2Sub1Handlers.ts.buildDeletePointStep2Sub1Handlers(EditPointMapStepProps,ReturnType,any)",LOW,RAW,2026-07-18,4,"buildDeletePointStep2Sub1Handlers.ts.buildDeletePointStep2Sub1Handlers(EditPointMapStepProps,ReturnType,any)",src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/buildDeletePointStep2Sub1Handlers.ts#L4:8,TypeScript,4,1,3
"3 parameters for unit CachedAdminToken.getCachedAdminToken(string,any,any)",LOW,RAW,2026-07-14,8,"CachedAdminToken.getCachedAdminToken(string,any,any)",backend/src/services/keycloakAdminTokenCache.ts#L7:10,TypeScript,4,3,3
"3 parameters for unit flightPlanExtraColumns.ts.flightPlanExtraColumns(string,any,any)",LOW,RAW,2026-07-18,4,"flightPlanExtraColumns.ts.flightPlanExtraColumns(string,any,any)",backend/src/helpers/queries/flight-plans/flightPlanExtraColumns.ts#L1:6,TypeScript,3,1,3
"3 parameters for unit arcgisTokenConfigResolve.ts.pickNumericField(ArcgisTokenConfig|undefined,any,any)",LOW,RAW,2026-07-18,4,"arcgisTokenConfigResolve.ts.pickNumericField(ArcgisTokenConfig|undefined,any,any)",backend/src/services/arcgisTokenConfigResolve.ts#L41:46,TypeScript,3,3,3
"3 parameters for unit verifyLoggedResponse.ts.jsonVerifyResponse(Response,number|undefined,object)",LOW,RAW,2026-07-22,0,"verifyLoggedResponse.ts.jsonVerifyResponse(Response,number|undefined,object)",backend/src/routes/auth2/verifyLoggedResponse.ts#L23:29,TypeScript,3,2,3
"4 parameters for unit templateFlightWizardCleanup.ts.runTemplateFlightWizardCleanup(Array,any,void,void)",LOW,RAW,2026-07-22,0,"templateFlightWizardCleanup.ts.runTemplateFlightWizardCleanup(Array,any,void,void)",src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/helpers/templateFlightWizardCleanup.ts#L19:25,TypeScript,3,1,4
"3 parameters for unit Fase3.tsx.collectIds(Array<{ id: number }>,any,any)",LOW,RAW,2026-07-22,0,"Fase3.tsx.collectIds(Array<{ id: number }>,any,any)",src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/Fase3.tsx#L14:16,TypeScript,3,2,3
