Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"7 parameters for unit setupClickListener.ts.setupClickListener(__esri.MapView,void,void,__esri.GraphicsLayer,boolean,__esri.GraphicsLayer|null,boolean)",HIGH,RAW,2026-06-06,25,"setupClickListener.ts.setupClickListener(__esri.MapView,void,void,__esri.GraphicsLayer,boolean,__esri.GraphicsLayer|null,boolean)",src/hooks/popUpModal/setupClickListener.ts#L4:82,TypeScript,40,13,7
"7 parameters for unit createNewPointEvent.ts.createNewPointEvent(__esri.ViewClickEvent,__esri.GraphicsLayer,void,void,void,void,void)",HIGH,RAW,2026-06-04,27,"createNewPointEvent.ts.createNewPointEvent(__esri.ViewClickEvent,__esri.GraphicsLayer,void,void,void,void,void)",src/helpers/ArcGISHelpers/createNewPointEvent.ts#L4:42,TypeScript,24,4,7
"7 parameters for unit index.ts.useHandleStep2(FinishedFlightPlanType,number[],number[],void,void,any,any)",HIGH,RAW,2026-06-04,27,"index.ts.useHandleStep2(FinishedFlightPlanType,number[],number[],void,void,any,any)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/index.ts#L19:37,TypeScript,10,2,7
"6 parameters for unit generatePdfReport.ts.generatePdfReport(PDFPointDataType,ImageData,ImageData,any,any,string)",MEDIUM,RAW,2026-06-04,27,"generatePdfReport.ts.generatePdfReport(PDFPointDataType,ImageData,ImageData,any,any,string)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/generatePdfReport.ts#L34:72,TypeScript,205,26,6
"6 parameters for unit mapImage.ts.getStaticMapImage(number,number,number,number,number,string)",MEDIUM,RAW,2026-06-04,27,"mapImage.ts.getStaticMapImage(number,number,number,number,number,string)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/mapImage.ts#L37:76,TypeScript,29,2,6
"5 parameters for unit filterPlansByPeriod.ts.filterPlansByPeriod(T[],string,string,string,string)",MEDIUM,RAW,2026-06-29,2,"filterPlansByPeriod.ts.filterPlansByPeriod(T[],string,string,string,string)",src/hooks/filters/filterPlansByPeriod.ts#L6:42,TypeScript,27,13,5
"5 parameters for unit bufferGraphics.ts.bufferPointsOnLayer(EnrichedPointType[],number,any,GraphicsLayer,MapView)",MEDIUM,RAW,2026-06-29,2,"bufferGraphics.ts.bufferPointsOnLayer(EnrichedPointType[],number,any,GraphicsLayer,MapView)",src/helpers/ArcGISHelpers/bufferGraphics.ts#L23:53,TypeScript,23,1,5
"5 parameters for unit useDrawingToolLifecycle.ts.useDrawingToolStep1Lifecycle(MapView|null,string,SketchViewModel|null,void,void)",MEDIUM,RAW,2026-06-10,21,"useDrawingToolLifecycle.ts.useDrawingToolStep1Lifecycle(MapView|null,string,SketchViewModel|null,void,void)",src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/useDrawingToolLifecycle.ts#L36:64,TypeScript,22,2,5
"5 parameters for unit buildUpdatedPlanFromForm.ts.buildViewPlanUpdatePayload(FlightPlanType,ViewPlanFormFields,EnrichedPointType[],Geometry[],number)",MEDIUM,RAW,2026-06-04,27,"buildUpdatedPlanFromForm.ts.buildViewPlanUpdatePayload(FlightPlanType,ViewPlanFormFields,EnrichedPointType[],Geometry[],number)",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/helpers/buildUpdatedPlanFromForm.ts#L56:79,TypeScript,18,1,5
"6 parameters for unit verify-regio-apis.ts.assertPlanRegiosWithDb(Pool,string,Array<{ id?: number; regio_id?: string }>,string,any,any)",MEDIUM,RAW,2026-06-29,2,"verify-regio-apis.ts.assertPlanRegiosWithDb(Pool,string,Array<{ id?: number; regio_id?: string }>,string,any,any)",backend/scripts/verify-regio-apis.ts#L138:162,TypeScript,17,3,6
"6 parameters for unit buildReusePlanPointIds.ts.buildReuseFlightPlanPointIds(number[],number[],number[],number[],Geometry[],Geometry[])",MEDIUM,RAW,2026-06-04,27,"buildReusePlanPointIds.ts.buildReuseFlightPlanPointIds(number[],number[],number[],number[],Geometry[],Geometry[])",src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/helpers/buildReusePlanPointIds.ts#L4:18,TypeScript,12,1,6
"5 parameters for unit columnDragHandlers.ts.handleDrop(string,string|null,string[],void,void)",MEDIUM,RAW,2026-06-04,27,"columnDragHandlers.ts.handleDrop(string,string|null,string[],void,void)",src/Components/HomePage/Body/Bottom/PointsView/common/functions/columnDragHandlers.ts#L11:26,TypeScript,10,3,5
"5 parameters for unit useFotoMapClickHandler.ts.useFotoMapClickHandler(MapView|null|undefined,GraphicsLayer|null|undefined,AttachmentType[],void,void)",MEDIUM,RAW,2026-06-06,25,"useFotoMapClickHandler.ts.useFotoMapClickHandler(MapView|null|undefined,GraphicsLayer|null|undefined,AttachmentType[],void,void)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useFotoMapClickHandler.ts#L6:15,TypeScript,9,4,5
"5 parameters for unit attachmentUploadHelpers.ts.buildAttachmentFromUploadResponse(number,number,string,number,number)",MEDIUM,RAW,2026-06-06,25,"attachmentUploadHelpers.ts.buildAttachmentFromUploadResponse(number,number,string,number,number)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/attachmentUploadHelpers.ts#L20:34,TypeScript,9,1,5
"5 parameters for unit Buttons.tsx.clearTemplateSelectionGraphics(MapView|null,Graphic[],void,Graphic|null,void)",MEDIUM,RAW,2026-06-10,21,"Buttons.tsx.clearTemplateSelectionGraphics(MapView|null,Graphic[],void,Graphic|null,void)",src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/Buttons.tsx#L16:30,TypeScript,8,2,5
"6 parameters for unit filterPlans(void,T[],string,string,string,string)",MEDIUM,RAW,2026-06-29,2,"filterPlans(void,T[],string,string,string,string)",src/hooks/filters/useFilterPlans.ts#L4:15,TypeScript,5,1,6
"4 parameters for unit useImageMarkersOnMap.ts.useImageMarkersOnMap(FinishedPointType|null,AttachmentType[],MapView|null|undefined,GraphicsLayer|null|undefined)",LOW,RAW,2026-06-06,25,"useImageMarkersOnMap.ts.useImageMarkersOnMap(FinishedPointType|null,AttachmentType[],MapView|null|undefined,GraphicsLayer|null|undefined)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/useImageMarkersOnMap.ts#L10:129,TypeScript,98,10,4
"3 parameters for unit flightPlansYellowHighlights.ts.drawSelectedPlansYellowHighlights(__esri.GraphicsLayer,FinishedFlightPlanType[],number[])",LOW,RAW,2026-06-04,27,"flightPlansYellowHighlights.ts.drawSelectedPlansYellowHighlights(__esri.GraphicsLayer,FinishedFlightPlanType[],number[])",src/helpers/timeslider/flightPlansYellowHighlights.ts#L32:136,TypeScript,90,14,3
