Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,40,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/Filter.tsx#L21:32,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/Filter.tsx#L28:39"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,15,11,11,2,false,false,TypeScript,"src/Types/keycloakUser.ts#L1:11,backend/src/routes/keycloak/management/users/types.ts#L1:11"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,38,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/FiltersSection/FilterSelect.tsx#L2:14,src/Components/HomePage/Body/Left/Common/FormComponents/SelectComp.tsx#L4:16"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,40,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/index.tsx#L23:36,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useFilterAndSortPlans.ts#L22:35"
11 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,15,11,11,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L55:65,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx#L52:62"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,38,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L28:39,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/index.tsx#L39:50"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L40:54,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L42:56"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,1,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L24:33,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L32:41"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,10,10,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L9:18,src/hooks/zustand/useDrawingStore.ts#L12:21"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,10,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L30:41,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/index.tsx#L36:47"
10 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,40,10,10,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Common/Filter.tsx#L9:18,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Filter/index.tsx#L9:18"
9 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-13,1,9,18,3,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/PointsView/PointsTable/index.tsx#L45:54,src/Components/HomePage/Body/Bottom/PointsView/GeometriesTable/index.tsx#L49:58,src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L121:130"
9 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-04,10,9,18,3,false,true,TypeScript,"src/Components/HomePage/Head/Common/FilterTabs.tsx#L26:36,src/Components/HomePage/Body/Left/Common/TabHeader/index.tsx#L28:38,src/Components/HomePage/Body/Left/Common/FiltersSection/index.tsx#L51:61"
8 lines occurring 3 times in 2 files,HIGH,RAW,2026-07-04,10,8,16,3,false,false,TypeScript,"backend/src/helpers/queries/geometries/geometryJson.ts#L13:20,src/helpers/points/pointColumnKeys.ts#L2:9,src/helpers/points/pointColumnKeys.ts#L18:25"
