Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
24 lines of code for unit applyCoordsFromMapClick.ts.applyCoordsFromMapClick(ApplyEditPointMapClickInput),LOW,RAW,2026-07-30,5,applyCoordsFromMapClick.ts.applyCoordsFromMapClick(ApplyEditPointMapClickInput),src/Components/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/applyCoordsFromMapClick.ts#L5:28,TypeScript,24,1,1
24 lines of code for unit placeBluePointGraphics.ts,LOW,RAW,2026-07-17,18,placeBluePointGraphics.ts,src/helpers/ArcGISHelpers/placeBluePointGraphics.ts#L1:13,TypeScript,24,5,0
24 lines of code for unit Step2Sub2.tsx.Step2Sub2(EditPointStep2Sub2Props),LOW,RAW,2026-07-30,5,Step2Sub2.tsx.Step2Sub2(EditPointStep2Sub2Props),src/Components/HomePageTools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub2.tsx#L14:39,TypeScript,24,1,1
24 lines of code for unit parseTimesliderImageQuery.ts.parseTimesliderImageQuery(URLSearchParams),LOW,RAW,2026-07-29,6,parseTimesliderImageQuery.ts.parseTimesliderImageQuery(URLSearchParams),src/Components/TimesliderItemDetailPage/query/parseTimesliderImageQuery.ts#L53:82,TypeScript,24,5,1
24 lines of code for unit ArcGISAuthProvider.tsx.ArcGISAuthProvider(Props),LOW,RAW,2026-06-04,61,ArcGISAuthProvider.tsx.ArcGISAuthProvider(Props),src/Components/Common/ArcGISAuthProvider.tsx#L8:36,TypeScript,24,4,1
24 lines of code for unit index.tsx.Form(EditObservationFormProps),LOW,RAW,2026-07-30,5,index.tsx.Form(EditObservationFormProps),src/Components/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Form/index.tsx#L15:40,TypeScript,24,5,1
24 lines of code for unit useGeometryGraphicsEffects.ts,LOW,RAW,2026-07-29,6,useGeometryGraphicsEffects.ts,src/Components/HomePage/hooks/features/useGeometryGraphicsEffects.ts#L1:7,TypeScript,24,3,0
"24 lines of code for unit classifyStep2OtpLoginFailure.ts.classifyStep2OtpLoginFailure(unknown,ClassifyStep2DebugContext)",LOW,RAW,2026-07-22,13,"classifyStep2OtpLoginFailure.ts.classifyStep2OtpLoginFailure(unknown,ClassifyStep2DebugContext)",backend/src/routes/auth2/classifyStep2OtpLoginFailure.ts#L47:76,TypeScript,24,1,2
24 lines of code for unit submitCollectedFlightPlanCreate.ts.submitCollectedFlightPlanCreate(SubmitCollectedFlightPlanCreateInput),LOW,RAW,2026-07-29,6,submitCollectedFlightPlanCreate.ts.submitCollectedFlightPlanCreate(SubmitCollectedFlightPlanCreateInput),src/Components/HomePage/hooks/flightPlan/submitCollectedFlightPlanCreate.ts#L31:60,TypeScript,24,1,1
24 lines of code for unit useEditPointFormMapClick.ts.useEditPointFormMapClick(any),LOW,RAW,2026-07-30,5,useEditPointFormMapClick.ts.useEditPointFormMapClick(any),src/Components/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/useEditPointFormMapClick.ts#L7:38,TypeScript,24,3,1
"24 lines of code for unit loginHandler.ts.RequestHandler(any,any)",LOW,RAW,2026-06-04,61,"loginHandler.ts.RequestHandler(any,any)",backend/src/routes/auth/authKeycloak/loginHandler.ts#L11:35,TypeScript,24,3,2
24 lines of code for unit useTimesliderState.ts,LOW,RAW,2026-07-29,6,useTimesliderState.ts,src/hooks/zustand/ui/useTimesliderState.ts#L1:37,TypeScript,24,2,0
24 lines of code for unit fetchConstLookup.ts.fetchConstLookup(FetchConstLookupInput),LOW,RAW,2026-07-01,34,fetchConstLookup.ts.fetchConstLookup(FetchConstLookupInput),backend/src/helpers/queries/consts/fetchConstLookup.ts#L14:42,TypeScript,24,5,1
24 lines of code for unit ImageGallery.tsx.ImageGallery(any),LOW,RAW,2026-06-04,61,ImageGallery.tsx.ImageGallery(any),src/Components/HomePage/Body/Common/ImageGallery.tsx#L20:47,TypeScript,24,3,1
24 lines of code for unit index.tsx.Step2(),LOW,RAW,2026-07-30,5,index.tsx.Step2(),src/Components/Voorbereiding/FlightPlan/Steps/Step2/index.tsx#L22:98,TypeScript,24,1,0
