Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"7 parameters for unit setupClickListener.ts.setupClickListener(__esri.MapView,void,void,__esri.GraphicsLayer,boolean,__esri.GraphicsLayer|null,boolean)",HIGH,RAW,2026-06-06,23,"setupClickListener.ts.setupClickListener(__esri.MapView,void,void,__esri.GraphicsLayer,boolean,__esri.GraphicsLayer|null,boolean)",src/hooks/popUpModal/setupClickListener.ts#L4:82,TypeScript,40,13,7
"7 parameters for unit createNewPointEvent.ts.createNewPointEvent(__esri.ViewClickEvent,__esri.GraphicsLayer,void,void,void,void,void)",HIGH,RAW,2026-06-04,25,"createNewPointEvent.ts.createNewPointEvent(__esri.ViewClickEvent,__esri.GraphicsLayer,void,void,void,void,void)",src/helpers/ArcGISHelpers/createNewPointEvent.ts#L4:42,TypeScript,24,4,7
"7 parameters for unit index.ts.useHandleStep2(FinishedFlightPlanType,number[],number[],void,void,any,any)",HIGH,RAW,2026-06-04,25,"index.ts.useHandleStep2(FinishedFlightPlanType,number[],number[],void,void,any,any)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/index.ts#L19:37,TypeScript,10,2,7
"6 parameters for unit generatePdfReport.ts.generatePdfReport(PDFPointDataType,ImageData,ImageData,any,any,string)",MEDIUM,RAW,2026-06-04,25,"generatePdfReport.ts.generatePdfReport(PDFPointDataType,ImageData,ImageData,any,any,string)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/generatePdfReport.ts#L34:72,TypeScript,205,26,6
"6 parameters for unit mapImage.ts.getStaticMapImage(number,number,number,number,number,string)",MEDIUM,RAW,2026-06-04,25,"mapImage.ts.getStaticMapImage(number,number,number,number,number,string)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/mapImage.ts#L37:76,TypeScript,29,2,6
"6 parameters for unit filterPlans(void,FlightPlanType[],string,string,string,string)",MEDIUM,RAW,2026-06-04,25,"filterPlans(void,FlightPlanType[],string,string,string,string)",src/hooks/filters/useFilterPlans.ts#L4:41,TypeScript,25,12,6
"6 parameters for unit filterPlans(void,FinishedFlightPlanType[],string,string,string,string)",MEDIUM,RAW,2026-06-04,25,"filterPlans(void,FinishedFlightPlanType[],string,string,string,string)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useFilterPlans.ts#L4:41,TypeScript,25,12,6
"5 parameters for unit commandGuard.ts.queueDeviceCommandWhenIdle(string,DeviceCommand,Response,string,string)",MEDIUM,RAW,2026-06-29,0,"commandGuard.ts.queueDeviceCommandWhenIdle(string,DeviceCommand,Response,string,string)",backend/src/routes/devices-updates/commandGuard.ts#L9:42,TypeScript,25,5,5
"5 parameters for unit useDrawingToolLifecycle.ts.useDrawingToolStep1Lifecycle(MapView|null,string,SketchViewModel|null,void,void)",MEDIUM,RAW,2026-06-10,19,"useDrawingToolLifecycle.ts.useDrawingToolStep1Lifecycle(MapView|null,string,SketchViewModel|null,void,void)",src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/useDrawingToolLifecycle.ts#L36:64,TypeScript,22,2,5
"5 parameters for unit buildUpdatedPlanFromForm.ts.buildViewPlanUpdatePayload(FlightPlanType,ViewPlanFormFields,EnrichedPointType[],Geometry[],number)",MEDIUM,RAW,2026-06-04,25,"buildUpdatedPlanFromForm.ts.buildViewPlanUpdatePayload(FlightPlanType,ViewPlanFormFields,EnrichedPointType[],Geometry[],number)",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/helpers/buildUpdatedPlanFromForm.ts#L56:79,TypeScript,18,1,5
