Description,Severity,Status,First Seen,Issue age,Type,Weakness,File,Technology,Origin,Remark,Locations
NPM dependency multer contains 2 vulnerabilities (CWE-400),HIGH,FIXED,2026-06-29,19,NPM dependency multer contains 2 vulnerabilities,CWE-400,backend/package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
CVE-2026-5079 (7.5) 
CVE-2026-5038 (5.3) 
For further details, please visit Sigrid's Open Source Health page.",backend/package-lock.json#L1
NPM dependency undici contains 7 vulnerabilities (CWE-400),HIGH,FIXED,2026-06-29,19,NPM dependency undici contains 7 vulnerabilities,CWE-400,backend/package-lock.json#L1,-,SIG Open Source Health,"This dependency contains the following vulnerabilities: 
CVE-2026-12151 (7.5) 
CVE-2026-6734 (7.5) 
CVE-2026-9697 (7.4) 
CVE-2026-9678 (5.9) 
CVE-2026-9679 (5.9) 
CVE-2026-6733 (3.7) 
CVE-2026-11525 (3.7) 
For further details, please visit Sigrid's Open Source Health page.",backend/package-lock.json#L1
