Description,Severity,Status,First Seen,Issue age,Type,Length,Source component,Target component
High communication density on src/api-hooks,MEDIUM,RAW,2026-06-04,44,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/helpers,LOW,RAW,2026-06-04,44,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/hooks,LOW,RAW,2026-06-04,44,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/Components/HomePage,LOW,RAW,2026-06-04,44,COMMUNICATION_DENSITY,-,-,-
Moderate communication density on src/Components/TimesliderItemDetailPage,LOW,RAW,2026-06-04,44,COMMUNICATION_DENSITY,-,-,-
