Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 13 for unit LegendSection.tsx.LegendSection(LegendSectionProps),MEDIUM,RAW,2026-06-10,38,LegendSection.tsx.LegendSection(LegendSectionProps),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSection.tsx#L24:79,TypeScript,28,13,1
McCabe complexity of 17 for unit BuildFlightPlanQueryOptions.resolveFlightPlanQueryDefaults(BuildFlightPlanQueryOptions),MEDIUM,RAW,2026-07-17,1,BuildFlightPlanQueryOptions.resolveFlightPlanQueryDefaults(BuildFlightPlanQueryOptions),backend/src/helpers/queries/flight-plans/buildFlightPlanQueryParts.ts#L26:55,TypeScript,27,17,1
McCabe complexity of 11 for unit safeServerRedirect.ts.isSafeServerRedirectTarget(string),MEDIUM,RAW,2026-07-13,5,safeServerRedirect.ts.isSafeServerRedirectTarget(string),backend/src/routes/auth/authKeycloak/safeServerRedirect.ts#L20:43,TypeScript,20,11,1
McCabe complexity of 11 for unit LegendSectionLayout.tsx.LegendSectionLayout(LegendSectionLayoutProps),MEDIUM,RAW,2026-07-15,3,LegendSectionLayout.tsx.LegendSectionLayout(LegendSectionLayoutProps),src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/Common/LegendSectionLayout.tsx#L19:74,TypeScript,19,11,1
"McCabe complexity of 15 for unit flightPlanPointExcel.ts.mapPointToExportRow(EnrichedPointType,FlightPlanType)",MEDIUM,RAW,2026-07-17,1,"flightPlanPointExcel.ts.mapPointToExportRow(EnrichedPointType,FlightPlanType)",src/helpers/points/flightPlanPointExcel.ts#L23:43,TypeScript,18,15,2
"McCabe complexity of 11 for unit applyEditPointCoordinatePatch.ts.nextValuesAfterCoordinatePatch(any,CoordinateSyncPatch)",MEDIUM,RAW,2026-07-17,1,"applyEditPointCoordinatePatch.ts.nextValuesAfterCoordinatePatch(any,CoordinateSyncPatch)",src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/EditPointDetails/Steps/Step2/applyEditPointCoordinatePatch.ts#L13:34,TypeScript,17,11,2
McCabe complexity of 11 for unit EditPointTabs.tsx.EditPointTabs(),MEDIUM,RAW,2026-06-04,44,EditPointTabs.tsx.EditPointTabs(),src/Components/HomePage/Body/Left/Common/BottomTabs/EditPointTabs.tsx#L10:96,TypeScript,17,11,0
McCabe complexity of 11 for unit types.ts.geometryToDraft(Geometry),MEDIUM,RAW,2026-06-04,44,types.ts.geometryToDraft(Geometry),src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/helpers/types.ts#L12:28,TypeScript,16,11,1
McCabe complexity of 12 for unit ParsedLoginInput.parseLoginInput(unknown),MEDIUM,RAW,2026-07-13,5,ParsedLoginInput.parseLoginInput(unknown),backend/src/routes/auth2/validateLoginInput.ts#L23:39,TypeScript,15,12,1
McCabe complexity of 12 for unit resolveSelectedPathPoint.ts.resolveSelectedPathPoint(any),MEDIUM,RAW,2026-07-15,3,resolveSelectedPathPoint.ts.resolveSelectedPathPoint(any),src/hooks/hover-click-handlers/resolveSelectedPathPoint.ts#L4:23,TypeScript,14,12,1
