Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
7 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-18,0,7,14,3,false,false,TypeScript,"src/Types/finished_plans.ts#L30:36,backend/src/helpers/validators/finishedPlan.ts#L37:43,src/Types/index.ts#L4:10"
6 lines occurring 4 times in 4 files,HIGH,RAW,2026-07-18,0,6,18,4,false,true,TypeScript,"backend/src/routes/flightPlans/getAllFlightPlans.ts#L6:11,backend/src/routes/flightPlans/getFullPreparedFlightPlans.ts#L5:10,backend/src/routes/flightPlans/getPrepreparedFlightPlans.ts#L5:10,backend/src/routes/flightPlans/getUnPreparedPlans.ts#L5:10"
6 lines occurring 4 times in 4 files,HIGH,RAW,2026-07-18,0,6,18,4,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/helpers/buildUpdatedPlanFromForm.ts#L6:11,src/hooks/zustand/shared/flightPlanFormTypes.ts#L2:7,src/Components/HomePage/Body/Left/Common/FlightPlanForm/FlightPlanStandardFields.tsx#L12:17,src/hooks/flightPlan/pickFlightPlanCreateFields.ts#L8:13"
7 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-18,0,7,14,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx#L29:35,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx#L16:22,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts#L9:15"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,4,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx#L43:53,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx#L48:58"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,19,8,8,2,false,false,TypeScript,"src/Types/devices.ts#L10:17,backend/src/routes/devices-updates/types.ts#L14:21"
6 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-18,0,6,12,3,false,false,TypeScript,"src/hooks/flightPlan/buildFlightPlanPayloadFields.ts#L12:17,src/Types/index.ts#L31:36,src/hooks/flightPlan/populateFormFromPlan.ts#L7:12"
8 lines occurring 2 times,HIGH,RAW,2026-07-04,14,8,8,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/pointMapGraphics.ts#L90:98,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/pointMapGraphics.ts#L113:121"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,19,8,8,2,false,false,TypeScript,"src/Types/devices.ts#L1:8,backend/src/routes/devices-updates/types.ts#L1:8"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/index.tsx#L7:15,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/Submit.tsx#L7:15"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,4,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/ViewPlans/PlanInformation.tsx#L4:13,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/ViewPlans/PlanInformation.tsx#L6:15"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-17,1,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step3/index.tsx#L9:17,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step2/index.tsx#L9:17"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-18,0,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/buildGeometryPointsFromDrawn.ts#L30:37,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/toGeometryPointPayload.ts#L6:13"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,14,8,8,2,false,true,TypeScript,"backend/src/routes/points/editPointStatus.ts#L6:14,backend/src/routes/flightPlans/updateFlightPlanStatus.ts#L6:14"
8 lines occurring 2 times,HIGH,RAW,2026-07-18,0,8,8,2,true,true,TypeScript,"backend/src/helpers/queries/flight-plans/fetchFlightPlanListHelpers.ts#L13:20,backend/src/helpers/queries/flight-plans/fetchFlightPlanListHelpers.ts#L24:31"
