Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 24 lines of code,HIGH,RAW,2026-06-04,42,src/hooks/features/useRenderLocalGeometries.ts,TypeScript,24
Interface module with 24 lines of code,HIGH,RAW,2026-07-13,3,src/hooks/hover-click-handlers/useGeometryEditHighlight.ts,TypeScript,24
Interface module with 22 lines of code,HIGH,RAW,2026-07-14,2,src/api-hooks/templateFlights/useTemplateFlights.ts,TypeScript,22
Interface module with 22 lines of code,HIGH,RAW,2026-07-14,2,src/api-hooks/points/usePointLookupQueries.ts,TypeScript,22
Interface module with 21 lines of code,HIGH,RAW,2026-06-04,42,src/hooks/useLogAction.ts,TypeScript,21
Interface module with 17 lines of code,HIGH,RAW,2026-07-04,12,src/hooks/consts/useConstSelectOptions.ts,TypeScript,17
Interface module with 15 lines of code,HIGH,RAW,2026-07-14,2,src/api-hooks/finishedPlans/usePlanPointAttachments.ts,TypeScript,15
Interface module with 13 lines of code,HIGH,RAW,2026-06-04,42,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/attachmentDisplayUrl.ts,TypeScript,13
Interface module with 12 lines of code,HIGH,RAW,2026-06-04,42,src/hooks/useGetFlightTimesDistance.ts,TypeScript,12
Interface module with 11 lines of code,HIGH,RAW,2026-06-04,42,src/helpers/refreshToken.ts,TypeScript,11
Interface module with 10 lines of code,HIGH,RAW,2026-07-14,2,src/api-hooks/emails/useEmailsList.ts,TypeScript,10
Interface module with 251 lines of code,MEDIUM,RAW,2026-07-04,12,src/helpers/tableExports/pointsPlansTableExport.ts,TypeScript,251
Interface module with 138 lines of code,MEDIUM,RAW,2026-06-10,36,src/helpers/ArcGISHelpers/createGeometryMapGraphics.ts,TypeScript,138
Interface module with 130 lines of code,MEDIUM,RAW,2026-06-06,40,src/helpers/ArcGISHelpers/createPlanBoundingBoxGraphic.ts,TypeScript,130
Interface module with 127 lines of code,MEDIUM,RAW,2026-06-29,17,src/hooks/zustand/shared/flightPlanFormFields.ts,TypeScript,127
Interface module with 125 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/ArcGISHelpers/createGeometryGraphic.ts,TypeScript,125
Interface module with 122 lines of code,MEDIUM,RAW,2026-06-10,36,src/helpers/ArcGISHelpers/createPointMapGraphics.ts,TypeScript,122
Interface module with 118 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/ArcGISHelpers/calculateCenterAndZoom.ts,TypeScript,118
Interface module with 99 lines of code,MEDIUM,RAW,2026-06-04,42,src/lib/invalidateAfterMutation.ts,TypeScript,99
Interface module with 98 lines of code,MEDIUM,RAW,2026-06-29,17,src/helpers/ArcGISHelpers/bufferGraphics.ts,TypeScript,98
Interface module with 97 lines of code,MEDIUM,RAW,2026-07-04,12,backend/src/configureExpressApp.ts,TypeScript,97
Interface module with 86 lines of code,MEDIUM,RAW,2026-06-04,42,src/helpers/ArcGISHelpers/createPointGraphic.ts,TypeScript,86
