ID,Path,Component,Lines of code,Duplication percentage,Start line,End line
74b99556-1bbb-4259-a6a6-77e6bdffaca9,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/Buttons.tsx,HomePage,9,22.5,20,30
74b99556-1bbb-4259-a6a6-77e6bdffaca9,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/SelectFromSourceButtons.tsx,HomePage,9,20.454546,24,32
e2de7f4f-7b01-4b37-9f8b-0d164ccbbbb4,src/Types/finished_plans.ts,Types,7,12.280702,30,36
e2de7f4f-7b01-4b37-9f8b-0d164ccbbbb4,backend/src/helpers/validators/finishedPlan.ts,backend,7,10.606061,37,43
e2de7f4f-7b01-4b37-9f8b-0d164ccbbbb4,src/Types/index.ts,Types,7,5.035971,4,10
e5ebd10a-e033-40ba-a219-c0b42ff801b2,backend/src/routes/flightPlans/getAllFlightPlans.ts,backend,6,40,6,11
e5ebd10a-e033-40ba-a219-c0b42ff801b2,backend/src/routes/flightPlans/getFullPreparedFlightPlans.ts,backend,6,46.153847,5,10
e5ebd10a-e033-40ba-a219-c0b42ff801b2,backend/src/routes/flightPlans/getPrepreparedFlightPlans.ts,backend,6,50,5,10
e5ebd10a-e033-40ba-a219-c0b42ff801b2,backend/src/routes/flightPlans/getUnPreparedPlans.ts,backend,6,46.153847,5,10
0bdedbdc-bfd1-4666-8d26-96eacd1b02d9,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx,HomePage,7,16.666666,29,35
0bdedbdc-bfd1-4666-8d26-96eacd1b02d9,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx,HomePage,7,17.948717,16,22
0bdedbdc-bfd1-4666-8d26-96eacd1b02d9,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts,HomePage,7,30.434782,9,15
3e0b4c23-2517-4785-9bad-ac61e1d845df,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/helpers/buildUpdatedPlanFromForm.ts,HomePage,6,9.523809,6,11
3e0b4c23-2517-4785-9bad-ac61e1d845df,src/hooks/zustand/shared/flightPlanFormFields.ts,hooks,6,5.4545455,2,7
3e0b4c23-2517-4785-9bad-ac61e1d845df,src/Components/HomePage/Body/Left/Common/FlightPlanForm/FlightPlanStandardFields.tsx,HomePage,6,9.375,12,17
3e0b4c23-2517-4785-9bad-ac61e1d845df,src/hooks/flightPlan/pickFlightPlanCreateFields.ts,hooks,6,37.5,8,13
82679a39-37c6-4809-ae15-28d457c8bff4,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx,HomePage,8,23.529411,43,53
82679a39-37c6-4809-ae15-28d457c8bff4,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx,HomePage,8,22.857143,48,58
