Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
7 lines occurring 3 times in 3 files,HIGH,RAW,2026-07-14,2,7,14,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx#L29:35,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx#L16:22,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts#L9:15"
6 lines occurring 4 times in 4 files,HIGH,RAW,2026-07-15,1,6,18,4,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/helpers/buildUpdatedPlanFromForm.ts#L6:11,src/hooks/zustand/shared/flightPlanFormFields.ts#L2:7,src/Components/HomePage/Body/Left/Common/FlightPlanForm/FlightPlanStandardFields.tsx#L12:17,src/hooks/flightPlan/pickFlightPlanCreateFields.ts#L8:13"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx#L43:53,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx#L48:58"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,17,8,8,2,false,false,TypeScript,"src/Types/devices.ts#L10:17,backend/src/routes/devices-updates/types.ts#L14:21"
8 lines occurring 2 times,HIGH,RAW,2026-07-04,12,8,8,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/pointMapGraphics.ts#L90:98,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/pointMapGraphics.ts#L113:121"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-15,1,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/SinglePlan.tsx#L11:19,src/Components/HomePage/Body/Left/Voorbereiding/RemoveFlightPlan/SinglePlan.tsx#L18:27"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-13,3,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/useAddPointStepMapClick.ts#L35:42,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/useEnrichedAddPointMapClick.ts#L53:60"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,17,8,8,2,false,false,TypeScript,"src/Types/devices.ts#L1:8,backend/src/routes/devices-updates/types.ts#L1:8"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,12,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/index.tsx#L7:15,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/Submit.tsx#L7:15"
8 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-14,2,8,8,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/ViewPlans/PlanInformation.tsx#L4:13,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/ViewPlans/PlanInformation.tsx#L6:15"
