Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 115 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/features/useRenderPoints.ts,TypeScript,115
Interface module with 95 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/features/useRenderGeometries.ts,TypeScript,95
Interface module with 86 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/hover-click-handlers/useGeometryHover.ts,TypeScript,86
Interface module with 85 lines of code,HIGH,RAW,2026-06-04,25,src/utils/useCreateData.ts,TypeScript,85
Interface module with 77 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/hover-click-handlers/useEditGeometryVerticesOnMap.ts,TypeScript,77
Interface module with 73 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/useGetFlightTimesDistance.ts,TypeScript,73
Interface module with 70 lines of code,HIGH,RAW,2026-06-04,25,src/utils/useUpdateData.ts,TypeScript,70
Interface module with 68 lines of code,HIGH,RAW,2026-06-04,25,src/utils/useDeleteData.ts,TypeScript,68
Interface module with 68 lines of code,HIGH,RAW,2026-06-06,23,src/hooks/hover-click-handlers/useFinishedPlanMapHighlight.ts,TypeScript,68
Interface module with 64 lines of code,HIGH,RAW,2026-06-10,19,src/hooks/hover-click-handlers/usePointListMapActions.ts,TypeScript,64
Interface module with 63 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/useLogAction.ts,TypeScript,63
Interface module with 59 lines of code,HIGH,RAW,2026-06-10,19,src/hooks/hover-click-handlers/useGeometryListMapActions.ts,TypeScript,59
Interface module with 56 lines of code,HIGH,RAW,2026-06-10,19,src/hooks/hover-click-handlers/useGeometryClick.ts,TypeScript,56
Interface module with 54 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/features/useHoverPointsAndGeometries.ts,TypeScript,54
Interface module with 53 lines of code,HIGH,RAW,2026-06-04,25,src/helpers/refreshToken.ts,TypeScript,53
Interface module with 51 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/hover-click-handlers/useNearestPointClick.ts,TypeScript,51
Interface module with 50 lines of code,HIGH,RAW,2026-06-06,23,src/hooks/hover-click-handlers/usePlanStarGraphic.ts,TypeScript,50
Interface module with 48 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/hover-click-handlers/useDrawYellowMarkers.ts,TypeScript,48
Interface module with 47 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/useMapInitialization.ts,TypeScript,47
Interface module with 46 lines of code,HIGH,RAW,2026-06-10,19,src/hooks/editPoint/useCoordinateSystemSync.ts,TypeScript,46
Interface module with 35 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/hover-click-handlers/useDrawYellowGeometries.ts,TypeScript,35
Interface module with 33 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/hover-click-handlers/usePointHover.ts,TypeScript,33
Interface module with 28 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/hover-click-handlers/usePlanHover.ts,TypeScript,28
Interface module with 27 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/hover-click-handlers/usePlanClick.ts,TypeScript,27
Interface module with 24 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/features/useRenderLocalGeometries.ts,TypeScript,24
Interface module with 23 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/finishedPlans/usePlanPointAttachments.ts,TypeScript,23
Interface module with 22 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/templateFlights/useTemplateFlights.ts,TypeScript,22
Interface module with 20 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/flightPlans/useVluchtnummerExists.ts,TypeScript,20
Interface module with 20 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/finishedPlans/usePartialFinishedPlans.ts,TypeScript,20
Interface module with 19 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/flightPlans/useUnPreparedPlans.ts,TypeScript,19
Interface module with 19 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/flightPlans/usePrepreparedFlightPlans.ts,TypeScript,19
Interface module with 19 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/flightPlans/useFullPreparedFlightPlans.ts,TypeScript,19
Interface module with 18 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/flightPlans/useFlightPlansList.ts,TypeScript,18
Interface module with 17 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/flightPlans/useSearchedFlightPlans.ts,TypeScript,17
Interface module with 17 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/points/useSearchedPoints.ts,TypeScript,17
Interface module with 15 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/consts/useGetPiloot.ts,TypeScript,15
Interface module with 15 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/consts/useGetActiviteis.ts,TypeScript,15
Interface module with 15 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/consts/useGetOrganisaties.ts,TypeScript,15
Interface module with 15 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/consts/useGetWaarnemers.ts,TypeScript,15
Interface module with 15 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/consts/useGetRegios.ts,TypeScript,15
Interface module with 15 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/consts/useGetLuchtvaartuig.ts,TypeScript,15
Interface module with 14 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/finishedPlans/useSingleFinishedPlan.ts,TypeScript,14
Interface module with 14 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/finishedPlans/useFinishedPlanPath.ts,TypeScript,14
Interface module with 13 lines of code,HIGH,RAW,2026-06-04,25,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/attachmentDisplayUrl.ts,TypeScript,13
Interface module with 13 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/points/useDuplicateOmschrijvingCount.ts,TypeScript,13
Interface module with 12 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/consts/useActiviteitenQuery.ts,TypeScript,12
Interface module with 12 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/consts/usePilotenQuery.ts,TypeScript,12
Interface module with 12 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/consts/useOrganisatiesQuery.ts,TypeScript,12
Interface module with 12 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/consts/useLuchtvaartuigQuery.ts,TypeScript,12
Interface module with 12 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/flightPlans/usePointFlightPlans.ts,TypeScript,12
Interface module with 12 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/consts/useWaarnemersQuery.ts,TypeScript,12
Interface module with 12 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/consts/useRegiosQuery.ts,TypeScript,12
Interface module with 10 lines of code,HIGH,RAW,2026-06-04,25,src/api-hooks/emails/useEmailsList.ts,TypeScript,10
Interface module with 186 lines of code,MEDIUM,RAW,2026-06-04,25,src/helpers/ArcGISHelpers/createGeometryGraphic.ts,TypeScript,186
Interface module with 158 lines of code,MEDIUM,RAW,2026-06-04,25,src/hooks/hover-click-handlers/useFeatureLayerPopup.ts,TypeScript,158
Interface module with 156 lines of code,MEDIUM,RAW,2026-06-04,25,src/hooks/hover-click-handlers/useDrawPath.ts,TypeScript,156
Interface module with 140 lines of code,MEDIUM,RAW,2026-06-04,25,src/hooks/hover-click-handlers/useFeatureLayerLabels.ts,TypeScript,140
Interface module with 138 lines of code,MEDIUM,RAW,2026-06-10,19,src/helpers/ArcGISHelpers/createGeometryMapGraphics.ts,TypeScript,138
Interface module with 130 lines of code,MEDIUM,RAW,2026-06-06,23,src/helpers/ArcGISHelpers/createPlanBoundingBoxGraphic.ts,TypeScript,130
