Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 34 for unit useEditPointCoordinates.ts.useEditPointCoordinates(void),HIGH,RAW,2026-07-04,0,useEditPointCoordinates.ts.useEditPointCoordinates(void),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/useEditPointCoordinates.ts#L19:181,TypeScript,153,34,1
McCabe complexity of 37 for unit MapComp.tsx.MapComp(any),HIGH,RAW,2026-06-04,30,MapComp.tsx.MapComp(any),src/Components/HomePage/Body/MapViewComp/MapComp.tsx#L17:94,TypeScript,153,37,1
McCabe complexity of 34 for unit useTimesliderImagePageData.ts.useTimesliderImagePageData(),HIGH,RAW,2026-06-04,30,useTimesliderImagePageData.ts.useTimesliderImagePageData(),src/Components/TimesliderItemDetailPage/useTimesliderImagePageData.ts#L19:147,TypeScript,65,34,0
McCabe complexity of 20 for unit index.tsx.SelectFromSource(any),MEDIUM,RAW,2026-06-04,30,index.tsx.SelectFromSource(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L37:211,TypeScript,118,20,1
McCabe complexity of 14 for unit Step2Sub1.tsx.Step2Sub1(any),MEDIUM,RAW,2026-06-04,30,Step2Sub1.tsx.Step2Sub1(any),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L11:160,TypeScript,111,14,1
McCabe complexity of 16 for unit processGeometry.ts.processGeometry(ProcessGeometryParams),MEDIUM,RAW,2026-06-04,30,processGeometry.ts.processGeometry(ProcessGeometryParams),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/processGeometry.ts#L14:36,TypeScript,110,16,1
McCabe complexity of 12 for unit processPoint.ts.processPoint(ProcessPointParams),MEDIUM,RAW,2026-06-04,30,processPoint.ts.processPoint(ProcessPointParams),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/processPoint.ts#L11:128,TypeScript,105,12,1
McCabe complexity of 14 for unit StepContent.tsx.StepContent(StepContentProps),MEDIUM,RAW,2026-06-04,30,StepContent.tsx.StepContent(StepContentProps),src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/StepContent.tsx#L28:198,TypeScript,104,14,1
McCabe complexity of 11 for unit HeadButtonsTimeslider.tsx.HeadButtonsTimeslider(),MEDIUM,RAW,2026-06-04,30,HeadButtonsTimeslider.tsx.HeadButtonsTimeslider(),src/Components/HomePage/Head/HeadButtonsTimeslider.tsx#L100:179,TypeScript,97,11,0
"McCabe complexity of 14 for unit flightPlansYellowHighlights.ts.drawSelectedPlansYellowHighlights(__esri.GraphicsLayer,FinishedFlightPlanType[],number[])",MEDIUM,RAW,2026-06-04,30,"flightPlansYellowHighlights.ts.drawSelectedPlansYellowHighlights(__esri.GraphicsLayer,FinishedFlightPlanType[],number[])",src/helpers/timeslider/flightPlansYellowHighlights.ts#L32:136,TypeScript,90,14,3
McCabe complexity of 13 for unit index.tsx.AddPointToPlan(),MEDIUM,RAW,2026-06-04,30,index.tsx.AddPointToPlan(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/index.tsx#L23:165,TypeScript,88,13,0
"McCabe complexity of 19 for unit sendEmail.ts.RequestHandler(any,any)",MEDIUM,RAW,2026-06-04,30,"sendEmail.ts.RequestHandler(any,any)",backend/src/routes/emails/sendEmail.ts#L17:113,TypeScript,83,19,2
McCabe complexity of 12 for unit usePopupController.ts.usePopupController(void),MEDIUM,RAW,2026-06-04,30,usePopupController.ts.usePopupController(void),src/hooks/popUpModal/usePopupController.ts#L13:111,TypeScript,81,12,1
"McCabe complexity of 15 for unit useRenderGeometries.ts.useRenderGeometries(FinishedFlightPlanType|null,number[])",MEDIUM,RAW,2026-06-04,30,"useRenderGeometries.ts.useRenderGeometries(FinishedFlightPlanType|null,number[])",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/hooks/useRenderGeometries.ts#L10:99,TypeScript,75,15,2
McCabe complexity of 14 for unit handleStep2(),MEDIUM,RAW,2026-06-04,30,handleStep2(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/index.ts#L49:191,TypeScript,74,14,0
