Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"3 parameters for unit coordinateFinalize.ts.coordsFromMapClick(string,number,number)",LOW,RAW,2026-07-04,0,"coordinateFinalize.ts.coordsFromMapClick(string,number,number)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/coordinateFinalize.ts#L45:63,TypeScript,14,1,3
"3 parameters for unit requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",LOW,RAW,2026-07-01,3,"requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",backend/src/helpers/auth/requirePassword.ts#L21:39,TypeScript,14,4,3
"4 parameters for unit useDrawingToolLifecycle.ts.useDrawingToolRootLifecycle(MapView|null,string,void,void)",LOW,RAW,2026-06-10,24,"useDrawingToolLifecycle.ts.useDrawingToolRootLifecycle(MapView|null,string,void,void)",src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/useDrawingToolLifecycle.ts#L15:34,TypeScript,14,2,4
"3 parameters for unit syncAttachmentsInPlan.ts.syncPointAttachmentsInPlan(FinishedFlightPlanType,FinishedPointType,AttachmentType[])",LOW,RAW,2026-06-06,28,"syncAttachmentsInPlan.ts.syncPointAttachmentsInPlan(FinishedFlightPlanType,FinishedPointType,AttachmentType[])",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/syncAttachmentsInPlan.ts#L8:29,TypeScript,13,2,3
"3 parameters for unit planSelection.ts.resolvePointsByIds(number[],EnrichedPointType[],Geometry[])",LOW,RAW,2026-06-04,30,"planSelection.ts.resolvePointsByIds(number[],EnrichedPointType[],Geometry[])",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/planSelection.ts#L44:62,TypeScript,13,5,3
"4 parameters for unit planSelection.ts.mergeGeometries(Geometry[],any,number[],Geometry[])",LOW,RAW,2026-06-04,30,"planSelection.ts.mergeGeometries(Geometry[],any,number[],Geometry[])",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/planSelection.ts#L19:37,TypeScript,12,6,4
"3 parameters for unit findSpecificPoint.ts.findSpecificPoint(__esri.MapView|null,number,number)",LOW,RAW,2026-06-04,30,"findSpecificPoint.ts.findSpecificPoint(__esri.MapView|null,number,number)",src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/helpers/findSpecificPoint.ts#L1:17,TypeScript,12,4,3
"4 parameters for unit haversine.ts.haversine(number,number,number,number)",LOW,RAW,2026-06-04,30,"haversine.ts.haversine(number,number,number,number)",src/helpers/haversine.ts#L1:6,TypeScript,12,1,4
"4 parameters for unit planSelection.ts.buildUniquePointIds(FlightPlanType,number[],number[],Geometry[])",LOW,RAW,2026-06-04,30,"planSelection.ts.buildUniquePointIds(FlightPlanType,number[],number[],Geometry[])",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/planSelection.ts#L79:96,TypeScript,12,1,4
"4 parameters for unit pointMapGraphics.ts.createPointGraphic(FinishedPointType,number,number,SimpleMarkerSymbol)",LOW,RAW,2026-07-04,0,"pointMapGraphics.ts.createPointGraphic(FinishedPointType,number,number,SimpleMarkerSymbol)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/pointMapGraphics.ts#L49:64,TypeScript,11,1,4
"4 parameters for unit deleteData(string|number,T,void,void)",LOW,RAW,2026-06-04,30,"deleteData(string|number,T,void,void)",src/utils/useDeleteData.ts#L47:63,TypeScript,11,4,4
"3 parameters for unit createPlanBoundingBoxGraphic.ts.getValidPlanPoints(PlanBoundingBoxPoint[],any,any)",LOW,RAW,2026-06-06,28,"createPlanBoundingBoxGraphic.ts.getValidPlanPoints(PlanBoundingBoxPoint[],any,any)",src/helpers/ArcGISHelpers/createPlanBoundingBoxGraphic.ts#L76:88,TypeScript,10,5,3
"4 parameters for unit getDistanceMeters.ts.getDistanceMeters(number,number,number,number)",LOW,RAW,2026-06-04,30,"getDistanceMeters.ts.getDistanceMeters(number,number,number,number)",src/helpers/getDistanceMeters.ts#L1:7,TypeScript,10,1,4
"4 parameters for unit getDistanceInMeters(number,number,number,number)",LOW,RAW,2026-06-04,30,"getDistanceInMeters(number,number,number,number)",src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/index.tsx#L39:45,TypeScript,10,1,4
"3 parameters for unit createPlanBoundingBoxGraphic.ts.getPlanBoundingBoxExtents(PlanBoundingBoxPoint[],any,any)",LOW,RAW,2026-06-06,28,"createPlanBoundingBoxGraphic.ts.getPlanBoundingBoxExtents(PlanBoundingBoxPoint[],any,any)",src/helpers/ArcGISHelpers/createPlanBoundingBoxGraphic.ts#L93:105,TypeScript,10,2,3
"4 parameters for unit getDistanceInMeters.ts.getDistanceInMeters(number,number,number,number)",LOW,RAW,2026-06-04,30,"getDistanceInMeters.ts.getDistanceInMeters(number,number,number,number)",src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/helpers/getDistanceInMeters.ts#L1:7,TypeScript,10,1,4
"3 parameters for unit pdfReportMapPages.ts.addMapPages(jsPDF,ImageData,ImageData)",LOW,RAW,2026-07-04,0,"pdfReportMapPages.ts.addMapPages(jsPDF,ImageData,ImageData)",src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportMapPages.ts#L34:48,TypeScript,10,1,3
"3 parameters for unit Options.tsx.ensureGraphicsLayer(MapView,GraphicsLayer|null,void)",LOW,RAW,2026-07-04,0,"Options.tsx.ensureGraphicsLayer(MapView,GraphicsLayer|null,void)",src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step1/Options.tsx#L26:40,TypeScript,10,2,3
"3 parameters for unit requireSessionAuth.ts.requireSessionAuth(any,any,any)",LOW,RAW,2026-07-01,3,"requireSessionAuth.ts.requireSessionAuth(any,any,any)",backend/src/helpers/auth/requireSessionAuth.ts#L3:12,TypeScript,9,2,3
"4 parameters for unit filterValidAttachments.ts.filterValidAttachments(any,any,any,any)",LOW,RAW,2026-06-06,28,"filterValidAttachments.ts.filterValidAttachments(any,any,any,any)",src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/common/Foto/filterValidAttachments.ts#L3:13,TypeScript,9,6,4
"3 parameters for unit usePlanStarGraphic.ts.addPlanStarGraphic(FlightPlanType,__esri.GraphicsLayer,PlanStarGraphicVariant)",LOW,RAW,2026-06-06,28,"usePlanStarGraphic.ts.addPlanStarGraphic(FlightPlanType,__esri.GraphicsLayer,PlanStarGraphicVariant)",src/hooks/hover-click-handlers/usePlanStarGraphic.ts#L19:32,TypeScript,9,2,3
"3 parameters for unit resetSketchSession.ts.destroySketchViewModel(SketchViewModel|null,void,MapView|null)",LOW,RAW,2026-06-10,24,"resetSketchSession.ts.destroySketchViewModel(SketchViewModel|null,void,MapView|null)",src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/resetSketchSession.ts#L59:72,TypeScript,8,3,3
"3 parameters for unit useClickOutside.ts.useClickOutside(RefObject<HTMLDivElement>,void,void)",LOW,RAW,2026-06-04,30,"useClickOutside.ts.useClickOutside(RefObject<HTMLDivElement>,void,void)",src/Components/HomePage/Body/Bottom/PointsView/common/hooks/useClickOutside.ts#L3:8,TypeScript,8,1,3
"3 parameters for unit installers.ts.fileFilter(any,any,any)",LOW,RAW,2026-06-04,30,"installers.ts.fileFilter(any,any,any)",backend/src/routes/installers.ts#L83:90,TypeScript,8,3,3
"3 parameters for unit filterFinishedPlansForItem.ts.filterFinishedPlansContainingItem(FinishedFlightPlanType[],any,number)",LOW,RAW,2026-06-04,30,"filterFinishedPlansForItem.ts.filterFinishedPlansContainingItem(FinishedFlightPlanType[],any,number)",src/helpers/timeslider/filterFinishedPlansForItem.ts#L3:14,TypeScript,8,4,3
