Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 33 lines of code,HIGH,RAW,2026-06-04,30,src/hooks/hover-click-handlers/usePointHover.ts,TypeScript,33
Interface module with 28 lines of code,HIGH,RAW,2026-06-04,30,src/hooks/hover-click-handlers/usePlanHover.ts,TypeScript,28
Interface module with 27 lines of code,HIGH,RAW,2026-06-04,30,src/hooks/hover-click-handlers/usePlanClick.ts,TypeScript,27
Interface module with 25 lines of code,HIGH,RAW,2026-07-04,0,src/api-hooks/points/usePointQuery.ts,TypeScript,25
Interface module with 24 lines of code,HIGH,RAW,2026-06-04,30,src/hooks/features/useRenderLocalGeometries.ts,TypeScript,24
Interface module with 24 lines of code,HIGH,RAW,2026-06-04,30,src/api-hooks/templateFlights/useTemplateFlights.ts,TypeScript,24
Interface module with 13 lines of code,HIGH,RAW,2026-06-04,30,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/attachmentDisplayUrl.ts,TypeScript,13
Interface module with 10 lines of code,HIGH,RAW,2026-06-04,30,src/api-hooks/emails/useEmailsList.ts,TypeScript,10
Interface module with 186 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/ArcGISHelpers/createGeometryGraphic.ts,TypeScript,186
Interface module with 138 lines of code,MEDIUM,RAW,2026-06-10,24,src/helpers/ArcGISHelpers/createGeometryMapGraphics.ts,TypeScript,138
Interface module with 130 lines of code,MEDIUM,RAW,2026-06-06,28,src/helpers/ArcGISHelpers/createPlanBoundingBoxGraphic.ts,TypeScript,130
Interface module with 127 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/ArcGISHelpers/calculateCenterAndZoom.ts,TypeScript,127
Interface module with 122 lines of code,MEDIUM,RAW,2026-06-10,24,src/helpers/ArcGISHelpers/createPointMapGraphics.ts,TypeScript,122
Interface module with 109 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/ArcGISHelpers/createPointGraphic.ts,TypeScript,109
Interface module with 105 lines of code,MEDIUM,RAW,2026-06-04,30,backend/src/app.ts,TypeScript,105
Interface module with 99 lines of code,MEDIUM,RAW,2026-06-04,30,src/lib/invalidateAfterMutation.ts,TypeScript,99
Interface module with 97 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/arcgis/deleteArcgisAttachment.ts,TypeScript,97
Interface module with 94 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/popUpModal/usePopupController.ts,TypeScript,94
Interface module with 93 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/ArcGISHelpers/createMapView.ts,TypeScript,93
Interface module with 88 lines of code,MEDIUM,RAW,2026-06-29,5,src/helpers/ArcGISHelpers/bufferGraphics.ts,TypeScript,88
Interface module with 74 lines of code,MEDIUM,RAW,2026-06-04,30,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/usePointPlanImages.ts,TypeScript,74
Interface module with 69 lines of code,MEDIUM,RAW,2026-06-10,24,src/hooks/layout/useResizableSidebar.ts,TypeScript,69
Interface module with 68 lines of code,MEDIUM,RAW,2026-06-29,5,src/hooks/zustand/shared/flightPlanFormFields.ts,TypeScript,68
Interface module with 66 lines of code,MEDIUM,RAW,2026-06-04,30,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/useGeometryPlanImages.ts,TypeScript,66
Interface module with 61 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/hover-click-handlers/useDrawPath.ts,TypeScript,61
Interface module with 60 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/filters/useFilterPoints.ts,TypeScript,60
Interface module with 56 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/ArcGISHelpers/createPin.ts,TypeScript,56
Interface module with 56 lines of code,MEDIUM,RAW,2026-06-06,28,src/helpers/ArcGISHelpers/finishedPlanMapGraphics.ts,TypeScript,56
Interface module with 53 lines of code,MEDIUM,RAW,2026-06-29,5,src/helpers/points/buildPointUpdatePayload.ts,TypeScript,53
Interface module with 51 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/hover-click-handlers/useFeatureLayerPopup.ts,TypeScript,51
Interface module with 46 lines of code,MEDIUM,RAW,2026-06-29,5,src/hooks/flightPlan/usePopulateFlightPlanFormEffect.ts,TypeScript,46
Interface module with 45 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/filters/useFilterGeometries.ts,TypeScript,45
Interface module with 44 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/ArcGISHelpers/createNewPointEvent.ts,TypeScript,44
Interface module with 41 lines of code,MEDIUM,RAW,2026-06-10,24,src/hooks/wizard/useWizardButtons.ts,TypeScript,41
Interface module with 39 lines of code,MEDIUM,RAW,2026-07-04,0,src/hooks/flightPlan/buildFlightPlanCreateAttributes.ts,TypeScript,39
Interface module with 39 lines of code,MEDIUM,RAW,2026-06-29,5,src/hooks/resultTab/useResultTabStarredPointActions.ts,TypeScript,39
Interface module with 39 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/useTimeRange.ts,TypeScript,39
Interface module with 35 lines of code,MEDIUM,RAW,2026-06-10,24,src/hooks/viewPlan/useMapPointSelectionClick.ts,TypeScript,35
Interface module with 31 lines of code,MEDIUM,RAW,2026-06-06,28,src/helpers/ArcGISHelpers/computeFlightPlanCentroid.ts,TypeScript,31
Interface module with 28 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/hover-click-handlers/useFeatureLayerLabels.ts,TypeScript,28
Interface module with 28 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/popUpModal/useHandleClosePopUp.ts,TypeScript,28
Interface module with 27 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/ArcGISHelpers/getTransformedCoordinates.ts,TypeScript,27
Interface module with 26 lines of code,MEDIUM,RAW,2026-06-10,24,src/hooks/viewPlan/useSortedPointSelection.ts,TypeScript,26
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/ArcGISHelpers/createYellowBorder.ts,TypeScript,25
Interface module with 25 lines of code,MEDIUM,RAW,2026-06-29,5,src/hooks/points/sortPointsWithSelectionOrder.ts,TypeScript,25
Interface module with 22 lines of code,MEDIUM,RAW,2026-06-04,30,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/pointPlanImagesToAttachments.ts,TypeScript,22
Interface module with 22 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/filterPlans.ts,TypeScript,22
Interface module with 21 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/filters/useFilterPlans.ts,TypeScript,21
Interface module with 20 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/handleCancel/useCancelCreateFlightPlan.ts,TypeScript,20
Interface module with 19 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/ArcGISHelpers/createPoint.ts,TypeScript,19
Interface module with 18 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/haversine.ts,TypeScript,18
Interface module with 17 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/features/useFetchInitialFeatures.ts,TypeScript,17
Interface module with 16 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/getDistanceMeters.ts,TypeScript,16
Interface module with 15 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/handleCancel/useHandleClearFinishedPlan.ts,TypeScript,15
Interface module with 14 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/useResetTabs.ts,TypeScript,14
Interface module with 13 lines of code,MEDIUM,RAW,2026-06-06,28,src/utils/useDebouncedValue.ts,TypeScript,13
Interface module with 13 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/useRenderVluchtPlans.ts,TypeScript,13
Interface module with 12 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/handleCancel/useHandleCancel.ts,TypeScript,12
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/getBackEndUrl.ts,TypeScript,11
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/ArcGISHelpers/replaceGraphics.ts,TypeScript,11
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/base64ToBlob.ts,TypeScript,11
Interface module with 11 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/features/useResetFeatures.ts,TypeScript,11
Interface module with 10 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/getLoginUrlWithReturn.ts,TypeScript,10
Interface module with 9 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/hover-click-handlers/usePointClick.ts,TypeScript,9
Interface module with 8 lines of code,MEDIUM,RAW,2026-06-04,30,src/api/fetchApi.ts,TypeScript,8
Interface module with 7 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/ArcGISHelpers/validateMapView.ts,TypeScript,7
Interface module with 7 lines of code,MEDIUM,RAW,2026-06-10,24,src/hooks/wizard/useWizardCleanup.ts,TypeScript,7
Interface module with 5 lines of code,MEDIUM,RAW,2026-06-04,30,src/hooks/useContent.ts,TypeScript,5
Interface module with 4 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/isValidEmail.ts,TypeScript,4
Interface module with 3 lines of code,MEDIUM,RAW,2026-06-04,30,src/helpers/classNames.ts,TypeScript,3
